P001_WA02_00102 	Orobanchaceae;Euphrasia; 	Orobanchaceae;Euphrasia	Brassicaceae;Arabis; 	Salicaceae;Salix; 	Orobanchaceae;Euphrasia; 	Orobanchaceae;Euphrasia;
P001_WB02_00008 	Salicaceae;Salix; 	Poaceae;Elymus	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca;
P001_WB02_00151 	Salicaceae;Salix; 	Salicaceae;Salix	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix;
P001_WB02_00214 	Salicaceae;Salix; 	Orobanchaceae;Euphrasia	Brassicaceae;Arabis; 	Salicaceae;Salix; 	Orobanchaceae;Euphrasia; 	Orobanchaceae;Euphrasia;
P001_WB03_00077 	Cyperaceae;Eriophorum; 	Cyperaceae;Carex	Cyperaceae;Eriophorum; 	Cyperaceae;Eriophorum; 	Asteraceae;Antennaria; 	Cyperaceae;Eriophorum;
P001_WB04_00013 	Betulaceae;Betula; 	Betulaceae;Betula	Betulaceae;Betula; 	Apiaceae;Carum; 	Apiaceae;Peucedanum; 	Crassulaceae;Sempervivum;
P001_WB05_00016 	Poaceae;Anthoxanthum; 	Poaceae;Anthoxanthum	Poaceae;Hierochloe; 	Poaceae;Calamagrostis; 	Poaceae;Poa; 	Poaceae;Agrostis;
P001_WB06_00003 	Gentianaceae;Comastoma; 	Gentianaceae;Swertia	Gentianaceae;Gentianella; 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana;
P001_WB07_00008 	Fabaceae;Oxytropis; 	Fabaceae;Astragalus	Fabaceae;Oxytropis; 	Fabaceae;Astragalus; 	Fabaceae;Oxytropis; 	Fabaceae;Astragalus;
P001_WB08_00099 	Poaceae;Bromus; 	Poaceae;Bromus	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca;
P001_WB09_00012 	Asteraceae;Leontodon; 	Asteraceae;Artemisia	Asteraceae;Hieracium; 	Asteraceae;Saussurea; 	Asteraceae;Petasites; 	Asteraceae;Hieracium;
P001_WB10_00016 	Poaceae;Nardus; 	Poaceae;Elymus	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca;
P001_WB11_00093 	Campanulaceae;Campanula; 	Campanulaceae;Campanula	Campanulaceae;Campanula; 	Campanulaceae;Campanula; 	Campanulaceae;Campanula; 	Campanulaceae;Campanula;
P001_WB12_00064 	Asteraceae;Gnaphalium; 	Asteraceae;Taraxacum	Asteraceae;Gnaphalium; 	Poaceae;Festuca; 	Asteraceae;Antennaria; 	Asteraceae;Taraxacum;
P001_WC02_00014 	Poaceae;Deschampsia; 	Poaceae;Elymus	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca;
P001_WC03_00064 	Asteraceae;Erigeron; 	Asteraceae;Conyza	Asteraceae;Erigeron; 	Asteraceae;Erigeron; 	Asteraceae;Anthemis; 	Asteraceae;Solidago;
P001_WC04_00024 	Cupressaceae;Juniperus; 	Cupressaceae;Juniperus	Cupressaceae;Juniperus; 	Juncaceae;Luzula; 	Pinaceae;Pinus; 	Ranunculaceae;Ranunculus;
P001_WC07_00045 	Asteraceae;Leontodon; 	Asteraceae;Artemisia	Asteraceae;Hieracium; 	Asteraceae;Saussurea; 	Asteraceae;Petasites; 	Asteraceae;Hieracium;
P001_WC08_00100 	Apiaceae;Bupleurum; 	Apiaceae;Bupleurum	Apiaceae;Bupleurum; 	Apiaceae;Carum; 	Apiaceae;Peucedanum; 	Apiaceae;Ligusticum;
P001_WC09_00094 	Lamiaceae;Betonica; 	Orobanchaceae;Pedicularis	Onagraceae;Epilobium; 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis;
P001_WC10_00117 	Apiaceae;Carum; 	Apiaceae;Carum	Apiaceae;Carum; 	Apiaceae;Peucedanum; 	Apiaceae;Tilingia; 	Apiaceae;Ligusticum;
P001_WC11_00010 	Polygonaceae;Rumex; 	Polygonaceae;Rheum	Polygonaceae;Rumex; 	Polygonaceae;Rumex; 	Polygonaceae;Oxyria; 	Polygonaceae;Polygonum;
P001_WC12_00010 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WD01_00055 	Poaceae;Poa; 	Poaceae;Zeugites	Poaceae;Poa; 	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca;
P001_WD02_00011 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Bergenia	Saxifragaceae;Saxifraga; 	Brassicaceae;Draba; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga;
P001_WD03_00009 	Poaceae;Calamagrostis; 	Poaceae;Agrostis	Poaceae;Agrostis; 	Poaceae;Hierochloe; 	Poaceae;Calamagrostis; 	Poaceae;Agrostis;
P001_WD04_00001 	Ericaceae;Cassiope; 	Ericaceae;Rhododendron	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron; 	Ericaceae;Arctous;
P001_WD05_00049 	Poaceae;Avenella; 	Poaceae;Elymus	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca;
P001_WD06_00045 	Campanulaceae;Campanula; 	Campanulaceae;Campanula	Campanulaceae;Campanula; 	Campanulaceae;Campanula; 	Campanulaceae;Campanula; 	Campanulaceae;Campanula;
P001_WD07_00087 	Caryophyllaceae;Silene; 	Caryophyllaceae;Silene	Caryophyllaceae;Silene; 	Caryophyllaceae;Silene; 	Caryophyllaceae;Silene; 	Caryophyllaceae;Minuartia;
P001_WD08_00039 	Caryophyllaceae;Cerastium; 	Boraginaceae;Borago	Boraginaceae;Myosotis; 	Apiaceae;Carum; 	Apiaceae;Peucedanum; 	Apiaceae;Ligusticum;
P001_WD09_00057 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana;
P001_WD10_00011 	Boraginaceae;Myosotis; 	Boraginaceae;Borago	Boraginaceae;Myosotis; 	Apiaceae;Carum; 	Apiaceae;Peucedanum; 	Apiaceae;Ligusticum;
P001_WD11_00016 	Crassulaceae;Sedum; 	Crassulaceae;Rosularia	Crassulaceae;Sempervivum; 	Crassulaceae;Sedum; 	Crassulaceae;Rhodiola; 	Saxifragaceae;Saxifraga;
P001_WD11_00270 	Crassulaceae;Sedum; 	Cyperaceae;Carex	Cyperaceae;Kobresia; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WD12_00104 	Asteraceae;Taraxacum; 	Asteraceae;Taraxacum	Asteraceae;Taraxacum; 	Cyperaceae;Carex; 	Asteraceae;Taraxacum; 	Asteraceae;Taraxacum;
P001_WE01_00008 	Caryophyllaceae;Minuartia; 	Molluginaceae;Mollugo	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Minuartia;
P001_WE02_00046 	Cyperaceae;Kobresia; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WE03_00114 	Ranunculaceae;Ranunculus; 	Ranunculaceae;Ranunculus	Ranunculaceae;Trollius; 	Ranunculaceae;Ranunculus; 	Caryophyllaceae;Dianthus; 	Ranunculaceae;Ranunculus;
P001_WE04_00011 	Tofieldiaceae;Tofieldia; 	Tofieldiaceae;Tofieldia	Ranunculaceae;Trollius; 	Ranunculaceae;Ranunculus; 	Ranunculaceae;Aconitum; 	Saxifragaceae;Saxifraga;
P001_WE04_00051 	Tofieldiaceae;Tofieldia; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WE05_00121 	Ericaceae;Kalmia; 	Ericaceae;Rhododendron	Ericaceae;Phyllodoce; 	Ericaceae;Phyllodoce; 	Ericaceae;Empetrum; 	Ericaceae;Rhododendron;
P001_WE06_00018 	Poaceae;Phleum; 	Poaceae;Elymus	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca;
P001_WE07_00109 	Juncaceae;Luzula; 	Juncaceae;Luzula	Juncaceae;Luzula; 	Juncaceae;Luzula; 	Cyperaceae;Carex; 	Juncaceae;Luzula;
P001_WE08_00102 	Caprifoliaceae;Scabiosa; 	Caprifoliaceae;Dipsacus	Caprifoliaceae;Patrinia; 	Apiaceae;Carum; 	Apiaceae;Peucedanum; 	Apiaceae;Ligusticum;
P001_WE10_00011 	Asteraceae;Taraxacum; 	Asteraceae;Taraxacum	Asteraceae;Taraxacum; 	Cyperaceae;Carex; 	Asteraceae;Taraxacum; 	Asteraceae;Taraxacum;
P001_WE11_00012 	Poaceae;Festuca; 	Poaceae;Elymus	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca;
P001_WE12_00129 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WE12_00279 	Cyperaceae;Carex; 	Asteraceae;Taraxacum	Asteraceae;Taraxacum; 	Cyperaceae;Carex; 	Asteraceae;Taraxacum; 	Asteraceae;Taraxacum;
P001_WE12_00280 	Cyperaceae;Carex; 	Asteraceae;Taraxacum	Asteraceae;Taraxacum; 	Cyperaceae;Carex; 	Asteraceae;Taraxacum; 	Asteraceae;Taraxacum;
P001_WE12_00291 	Cyperaceae;Carex; 	Poaceae;Elymus	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca;
P001_WF01_00031 	Equisetaceae;Equisetum; 	Equisetaceae;Equisetum	Equisetaceae;Equisetum; 	Equisetaceae;Equisetum; 	Equisetaceae;Equisetum; 	Equisetaceae;Equisetum;
P001_WF01_00239 	Equisetaceae;Equisetum; 	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus; 	Celastraceae;Parnassia; 	Salicaceae;Salix; 	Ranunculaceae;Ranunculus;
P001_WF02_00071 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WF03_00011 	Caryophyllaceae;Cerastium; 	Caryophyllaceae;Cerastium	Caryophyllaceae;Cerastium; 	Caryophyllaceae;Cerastium; 	Caryophyllaceae;Cerastium; 	Caryophyllaceae;Cerastium;
P001_WF04_00089 	Caryophyllaceae;Silene; 	Caryophyllaceae;Silene	Caryophyllaceae;Silene; 	Caryophyllaceae;Silene; 	Caryophyllaceae;Silene; 	Caryophyllaceae;Minuartia;
P001_WF05_00003 	Asteraceae;Antennaria; 	Asteraceae;Gamochaeta	Asteraceae;Antennaria; 	Poaceae;Festuca; 	Asteraceae;Antennaria; 	Asteraceae;Hieracium;
P001_WF06_00023 	Orobanchaceae;Euphrasia; 	Orobanchaceae;Euphrasia	Brassicaceae;Arabis; 	Salicaceae;Salix; 	Orobanchaceae;Euphrasia; 	Orobanchaceae;Euphrasia;
P001_WF06_00091 	Orobanchaceae;Euphrasia; 	Poaceae;Elymus	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca;
P001_WF07_00011 	Poaceae;Festuca; 	Poaceae;Elymus	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca;
P001_WF08_00025 	Orchidaceae;Coeloglossum; 	Orchidaceae;Habenaria	Tofieldiaceae;Tofieldia; 	Ranunculaceae;Aconitum; 	Caryophyllaceae;Dianthus; 	Ranunculaceae;Ranunculus;
P001_WF09_00012 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana;
P001_WF10_00022 	Fabaceae;Anthyllis; 	Fabaceae;Securigera	Crassulaceae;Sempervivum; 	Brassicaceae;Cardamine; 	Caryophyllaceae;Minuartia; 	Brassicaceae;Cardamine;
P001_WF11_00089 	Apiaceae;Seseli; 	Apiaceae;Prangos	Apiaceae;Bupleurum; 	Apiaceae;Carum; 	Apiaceae;Peucedanum; 	Apiaceae;Bupleurum;
P001_WF12_00122 	Geraniaceae;Geranium; 	Geraniaceae;Geranium	Salicaceae;Salix; 	Apiaceae;Carum; 	Apiaceae;Peucedanum; 	Caryophyllaceae;Arenaria;
P001_WG01_00127 	Ranunculaceae;Thalictrum; 	Ranunculaceae;Thalictrum	Cyperaceae;Carex; 	Ranunculaceae;Trollius; 	Ranunculaceae;Ranunculus; 	Ranunculaceae;Aconitum;
P001_WG02_00151 	Cyperaceae;Carex; 	Ranunculaceae;Thalictrum	Cyperaceae;Carex; 	Ranunculaceae;Trollius; 	Ranunculaceae;Ranunculus; 	Ranunculaceae;Aconitum;
P001_WG02_00168 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WG04_00046 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Onagraceae;Epilobium; 	Cyperaceae;Carex;
P001_WG05_00061 	Caryophyllaceae;Viscaria; 	Caryophyllaceae;Colobanthus	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Silene; 	Caryophyllaceae;Sagina; 	Caryophyllaceae;Silene;
P001_WG06_00114 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga;
P001_WG07_00031 	Gentianaceae;Gentianella; 	Gentianaceae;Swertia	Gentianaceae;Gentianella; 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana;
P001_WG08_00014 	Asteraceae;Anthemis; 	Asteraceae;Artemisia	Asteraceae;Hieracium; 	Asteraceae;Saussurea; 	Asteraceae;Petasites; 	Asteraceae;Hieracium;
P001_WG10_00011 	Asteraceae;Taraxacum; 	Asteraceae;Taraxacum	Asteraceae;Taraxacum; 	Cyperaceae;Carex; 	Asteraceae;Taraxacum; 	Asteraceae;Taraxacum;
P001_WG11_00012 	Liliaceae;Gagea; 	Liliaceae;Gagea	Liliaceae;Fritillaria; 	Brassicaceae;Cardamine; 	Brassicaceae;Cardamine; 	Brassicaceae;Cardamine;
P001_WG12_00003 	Poaceae;Catabrosella; 	Poaceae;Elymus	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca;
P001_WH01_00102 	Celastraceae;Parnassia; 	Celastraceae;Parnassia	Salicaceae;Salix; 	Equisetaceae;Equisetum; 	Saxifragaceae;Chrysosplenium; 	Saxifragaceae;Saxifraga;
P001_WH02_00002 	Salicaceae;Salix; 	Celastraceae;Parnassia	Salicaceae;Salix; 	Equisetaceae;Equisetum; 	Saxifragaceae;Chrysosplenium; 	Saxifragaceae;Saxifraga;
P001_WH02_00116 	Salicaceae;Salix; 	Salicaceae;Salix	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix;
P001_WH03_00091 	Cyperaceae;Eriophorum; 	Cyperaceae;Carex	Cyperaceae;Eriophorum; 	Cyperaceae;Eriophorum; 	Asteraceae;Antennaria; 	Cyperaceae;Eriophorum;
P001_WH04_00010 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga;
P001_WH05_00093 	Plantaginaceae;Veronica; 	Plantaginaceae;Veronica	Plantaginaceae;Veronica; 	Plantaginaceae;Veronica; 	Plantaginaceae;Veronica; 	Fabaceae;Hedysarum;
P001_WH06_00145 	Poaceae;Trisetum; 	Poaceae;Elymus	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca;
P001_WH06_00212 	Poaceae;Trisetum; 	Asteraceae;Helenium	Asteraceae;Scorzonera; 	Asteraceae;Saussurea; 	Asteraceae;Petasites; 	Asteraceae;Hieracium;
P001_WH07_00010 	Asteraceae;Scorzonera; 	Asteraceae;Helenium	Asteraceae;Scorzonera; 	Asteraceae;Saussurea; 	Asteraceae;Petasites; 	Asteraceae;Hieracium;
P001_WH08_00095 	Asteraceae;Anthemis; 	Asteraceae;Artemisia	Asteraceae;Solidago; 	Asteraceae;Saussurea; 	Asteraceae;Petasites; 	Asteraceae;Hieracium;
P001_WH09_00025 	Primulaceae;Primula; 	Primulaceae;Primula	Hypericaceae;Hypericum; 	Primulaceae;Primula; 	Primulaceae;Trientalis; 	Primulaceae;Primula;
P001_WH10_00050 	Hypericaceae;Hypericum; 	Fabaceae;Euchresta	Crassulaceae;Sedum; 	Crassulaceae;Sempervivum; 	Rosaceae;Spiraea; 	Caryophyllaceae;Minuartia;
P001_WH10_00117 	Hypericaceae;Hypericum; 	Asteraceae;Artemisia	Asteraceae;Erigeron; 	Asteraceae;Erigeron; 	Asteraceae;Solidago; 	Asteraceae;Solidago;
P001_WH10_00119 	Hypericaceae;Hypericum; 	Primulaceae;Primula	Hypericaceae;Hypericum; 	Primulaceae;Primula; 	Primulaceae;Trientalis; 	Primulaceae;Primula;
P001_WH11_00040 	Asteraceae;Erigeron; 	Asteraceae;Conyza	Asteraceae;Erigeron; 	Asteraceae;Erigeron; 	Asteraceae;Anthemis; 	Asteraceae;Solidago;
P001_WH12_00011 	Asteraceae;Hieracium; 	Asteraceae;Artemisia	Asteraceae;Hieracium; 	Asteraceae;Saussurea; 	Asteraceae;Petasites; 	Asteraceae;Hieracium;
P002_WA01_00012 	Poaceae;Hyalopoa; 	Poaceae;Elymus	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca;
P002_WA02_00062 	Fabaceae;Trifolium; 	Fabaceae;Trifolium	Fabaceae;Trifolium; 	Fabaceae;Anthyllis; 	Brassicaceae;Cardamine; 	Brassicaceae;Cardamine;
P002_WA03_00106 	Poaceae;Festuca; 	Poaceae;Elymus	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca;
P002_WA04_00115 	Apiaceae;Carum; 	Araliaceae;Panax	Apiaceae;Peucedanum; 	Apiaceae;Chaerophyllum; 	Apiaceae;Tilingia; 	Apiaceae;Ligusticum;
P002_WA05_00041 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana;
P002_WA06_00113 	Apiaceae;Peucedanum; 	Araliaceae;Panax	Apiaceae;Peucedanum; 	Apiaceae;Chaerophyllum; 	Apiaceae;Tilingia; 	Apiaceae;Ligusticum;
P002_WA07_00120 	Ericaceae;Harrimanella; 	Ericaceae;Arbutus	Ericaceae;Harrimanella; 	Ericaceae;Arctous; 	Ericaceae;Pyrola; 	Ericaceae;Pyrola;
P002_WA08_00122 	Poaceae;Poa; 	Poaceae;Elymus	Poaceae;Poa; 	Poaceae;Poa; 	Poaceae;Poa; 	Poaceae;Agrostis;
P002_WA09_00109 	Rosaceae;Dryas; 	Rosaceae;Dryas	Rosaceae;Dryas; 	Cyperaceae;Carex; 	Rosaceae;Dryas; 	Rosaceae;Potentilla;
P002_WA10_00113 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron;
P002_WA11_00121 	Poaceae;Calamagrostis; 	Poaceae;Agrostis	Poaceae;Agrostis; 	Poaceae;Hierochloe; 	Poaceae;Calamagrostis; 	Poaceae;Agrostis;
P002_WA12_00097 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga;
P002_WB01_00010 	Apiaceae;Chaerophyllum; 	Apiaceae;Anthriscus	Apiaceae;Carum; 	Apiaceae;Peucedanum; 	Apiaceae;Tilingia; 	Apiaceae;Ligusticum;
P002_WB02_00032 	Primulaceae;Primula; 	Primulaceae;Primula	Primulaceae;Primula; 	Hypericaceae;Hypericum; 	Primulaceae;Trientalis; 	Primulaceae;Primula;
P002_WB03_00097 	Caryophyllaceae;Arenaria; 	Molluginaceae;Mollugo	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Silene; 	Caryophyllaceae;Sagina; 	Caryophyllaceae;Silene;
P002_WB04_00101 	Poaceae;Helictotrichon; 	Poaceae;Helictochloa	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca;
P002_WB05_00026 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis	Onagraceae;Epilobium; 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis;
P002_WB06_00043 	Rosaceae;Potentilla; 	Rosaceae;Rosa	Rosaceae;Potentilla; 	Rosaceae;Sieversia; 	Rosaceae;Rubus; 	Rosaceae;Potentilla;
P002_WB07_00104 	Ericaceae;Bryanthus; 	Ericaceae;Rhododendron	Ericaceae;Phyllodoce; 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron;
P002_WB08_00091 	Poaceae;Poa; 	Poaceae;Elymus	Poaceae;Poa; 	Poaceae;Poa; 	Poaceae;Poa; 	Poaceae;Agrostis;
P002_WB09_00070 	Salicaceae;Salix; 	Salicaceae;Salix	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix;
P002_WB10_00011 	Caryophyllaceae;Stellaria; 	Caryophyllaceae;Cerastium	Caryophyllaceae;Stellaria; 	Caryophyllaceae;Cerastium; 	Caryophyllaceae;Cerastium; 	Caryophyllaceae;Cerastium;
P002_WB11_00068 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis	Onagraceae;Epilobium; 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis;
P002_WB12_00109 	Saxifragaceae;Chrysosplenium; 	Saxifragaceae;Chrysosplenium	Brassicaceae;Draba; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga;
P002_WC01_00182 	Rosaceae;Potentilla; 	Rosaceae;Rosa	Rosaceae;Potentilla; 	Rosaceae;Sieversia; 	Rosaceae;Rubus; 	Rosaceae;Potentilla;
P002_WC01_00185 	Rosaceae;Potentilla; 	Orobanchaceae;Pedicularis	Onagraceae;Epilobium; 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis;
P002_WC02_00022 	Fabaceae;Oxytropis; 	Fabaceae;Oxytropis	Fabaceae;Oxytropis; 	Fabaceae;Oxytropis; 	Fabaceae;Astragalus; 	Fabaceae;Astragalus;
P002_WC03_00016 	Orobanchaceae;Euphrasia; 	Orobanchaceae;Euphrasia	Brassicaceae;Arabis; 	Salicaceae;Salix; 	Orobanchaceae;Euphrasia; 	Orobanchaceae;Euphrasia;
P002_WC04_00093 	Asteraceae;Aster; 	Asteraceae;Aster	Asteraceae;Anthemis; 	Asteraceae;Solidago; 	Asteraceae;Petasites; 	Asteraceae;Hieracium;
P002_WC05_00011 	Apiaceae;Tilingia; 	Apiaceae;Ligusticum	Apiaceae;Carum; 	Apiaceae;Peucedanum; 	Apiaceae;Chaerophyllum; 	Apiaceae;Ligusticum;
P002_WC06_00003 	Juncaceae;Luzula; 	Juncaceae;Luzula	Juncaceae;Luzula; 	Juncaceae;Luzula; 	Juncaceae;Luzula; 	Cyperaceae;Carex;
P002_WC07_00030 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron;
P002_WC08_00009 	Brassicaceae;Cardamine; 	Brassicaceae;Lepidium	Brassicaceae;Cardamine; 	Brassicaceae;Cardamine; 	Brassicaceae;Cochlearia; 	Brassicaceae;Draba;
P002_WC09_00113 	Fabaceae;Astragalus; 	Fabaceae;Astragalus	Fabaceae;Oxytropis; 	Fabaceae;Oxytropis; 	Fabaceae;Astragalus; 	Fabaceae;Oxytropis;
P002_WC10_00064 	Polygonaceae;Persicaria; 	Polygonaceae;Bistorta	Polygonaceae;Bistorta; 	Polygonaceae;Bistorta; 	Polygonaceae;Polygonum; 	Polygonaceae;Rumex;
