Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
RapidGenomics_F205_GOT_125402_P001_WA08_i5-501_i7-16_S2519_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WA08_i5-501_i7-16_S2519_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2252312.0	0.0	151.0	36.0	92.75916089576825	151.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P001_WA09_i5-501_i7-36_S2520_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WA09_i5-501_i7-36_S2520_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2393773.0	0.0	151.0	43.0	92.08808070777398	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P001_WA09_i5-501_i7-36_S2520_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WA09_i5-501_i7-36_S2520_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2393773.0	0.0	151.0	43.0	92.50929370330934	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P001_WA10_i5-501_i7-54_S2521_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WA10_i5-501_i7-54_S2521_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3510606.0	0.0	151.0	37.0	89.55887149612448	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P001_WA10_i5-501_i7-54_S2521_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WA10_i5-501_i7-54_S2521_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3510606.0	0.0	151.0	37.0	90.11220182951489	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	warn
RapidGenomics_F205_GOT_125402_P001_WA11_i5-501_i7-25_S2522_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WA11_i5-501_i7-25_S2522_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2456815.0	0.0	151.0	38.0	90.22541056298815	151.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P001_WA11_i5-501_i7-25_S2522_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WA11_i5-501_i7-25_S2522_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2456815.0	0.0	151.0	38.0	90.92076391464582	151.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P001_WA12_i5-501_i7-23_S2523_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WA12_i5-501_i7-23_S2523_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7020435.0	0.0	151.0	36.0	85.64542943232159	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn
RapidGenomics_F205_GOT_125402_P001_WA12_i5-501_i7-23_S2523_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WA12_i5-501_i7-23_S2523_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7020435.0	0.0	151.0	36.0	85.95881262487775	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn
RapidGenomics_F205_GOT_125402_P001_WB01_i5-501_i7-31_S2524_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WB01_i5-501_i7-31_S2524_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2946173.0	0.0	151.0	40.0	90.26098544544394	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WB01_i5-501_i7-31_S2524_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WB01_i5-501_i7-31_S2524_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2946173.0	0.0	151.0	40.0	91.02650757222037	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P001_WB02_i5-501_i7-39_S2525_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WB02_i5-501_i7-39_S2525_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2503351.0	0.0	151.0	38.0	82.27752485693463	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WB02_i5-501_i7-39_S2525_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WB02_i5-501_i7-39_S2525_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2503351.0	0.0	151.0	38.0	84.34516878816741	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WB03_i5-501_i7-2_S2526_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WB03_i5-501_i7-2_S2526_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1398023.0	0.0	151.0	37.0	87.10979024797966	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass
RapidGenomics_F205_GOT_125402_P001_WB03_i5-501_i7-2_S2526_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WB03_i5-501_i7-2_S2526_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1398023.0	0.0	151.0	37.0	89.51811063729683	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WB04_i5-501_i7-20_S2527_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WB04_i5-501_i7-20_S2527_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1249041.0	0.0	151.0	37.0	88.76969728649023	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WB04_i5-501_i7-20_S2527_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WB04_i5-501_i7-20_S2527_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1249041.0	0.0	151.0	37.0	90.37281642066152	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WB05_i5-501_i7-90_S2528_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WB05_i5-501_i7-90_S2528_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1423165.0	0.0	151.0	46.0	93.12649025833159	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WB05_i5-501_i7-90_S2528_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WB05_i5-501_i7-90_S2528_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1423165.0	0.0	151.0	46.0	93.70225215051379	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P001_WB06_i5-501_i7-6_S2529_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WB06_i5-501_i7-6_S2529_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	992636.0	0.0	151.0	39.0	92.57713156454793	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WB06_i5-501_i7-6_S2529_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WB06_i5-501_i7-6_S2529_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	992636.0	0.0	151.0	39.0	94.43965075797186	151.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WB07_i5-501_i7-29_S2530_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WB07_i5-501_i7-29_S2530_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1451803.0	0.0	151.0	39.0	89.35740037997274	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WB07_i5-501_i7-29_S2530_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WB07_i5-501_i7-29_S2530_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1451803.0	0.0	151.0	40.0	93.27527790610556	151.0	pass	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WB08_i5-501_i7-57_S2531_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WB08_i5-501_i7-57_S2531_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1963721.0	0.0	151.0	46.0	83.74700919047932	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WB08_i5-501_i7-57_S2531_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WB08_i5-501_i7-57_S2531_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1963721.0	0.0	151.0	46.0	86.8599057191532	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WB09_i5-501_i7-63_S2532_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WB09_i5-501_i7-63_S2532_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1399741.0	0.0	151.0	37.0	92.12844894259449	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P001_WB09_i5-501_i7-63_S2532_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WB09_i5-501_i7-63_S2532_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1399741.0	0.0	151.0	37.0	92.74725964913611	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P001_WB10_i5-501_i7-55_S2533_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WB10_i5-501_i7-55_S2533_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1803487.0	0.0	151.0	44.0	93.75424260673152	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	warn
RapidGenomics_F205_GOT_125402_P001_WB10_i5-501_i7-55_S2533_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WB10_i5-501_i7-55_S2533_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1803487.0	0.0	151.0	44.0	94.32209498697958	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	warn
RapidGenomics_F205_GOT_125402_P001_WB11_i5-501_i7-5_S2534_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WB11_i5-501_i7-5_S2534_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3620651.0	0.0	151.0	40.0	83.68167896746348	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	warn	warn
RapidGenomics_F205_GOT_125402_P001_WB11_i5-501_i7-5_S2534_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WB11_i5-501_i7-5_S2534_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3620651.0	0.0	151.0	40.0	84.973981687657	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	warn
RapidGenomics_F205_GOT_125402_P001_WB12_i5-501_i7-75_S2535_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WB12_i5-501_i7-75_S2535_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4047040.0	0.0	151.0	37.0	86.9036662385765	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WB12_i5-501_i7-75_S2535_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WB12_i5-501_i7-75_S2535_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4047040.0	0.0	151.0	37.0	87.65272288931715	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P001_WC01_i5-501_i7-65_S2536_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WC01_i5-501_i7-65_S2536_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7406.0	0.0	151.0	39.0	97.529030515798	151.0	pass	pass	fail	pass	warn	warn	pass	pass	pass	warn	warn
RapidGenomics_F205_GOT_125402_P001_WC01_i5-501_i7-65_S2536_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WC01_i5-501_i7-65_S2536_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7406.0	0.0	151.0	39.0	98.43370240345666	151.0	pass	pass	fail	pass	warn	warn	pass	pass	pass	warn	warn
RapidGenomics_F205_GOT_125402_P001_WC02_i5-501_i7-67_S2537_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WC02_i5-501_i7-67_S2537_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3129045.0	0.0	151.0	46.0	91.41186645975364	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn
RapidGenomics_F205_GOT_125402_P001_WC02_i5-501_i7-67_S2537_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WC02_i5-501_i7-67_S2537_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3129045.0	0.0	151.0	46.0	92.97082096806459	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	warn
RapidGenomics_F205_GOT_125402_P001_WC03_i5-501_i7-40_S2538_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WC03_i5-501_i7-40_S2538_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1386151.0	0.0	151.0	38.0	91.03968839731232	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WC03_i5-501_i7-40_S2538_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WC03_i5-501_i7-40_S2538_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1386151.0	0.0	151.0	38.0	92.2701264582686	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P001_WC04_i5-501_i7-19_S2539_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WC04_i5-501_i7-19_S2539_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1254892.0	0.0	151.0	35.0	93.64691988499668	151.0	pass	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WC04_i5-501_i7-19_S2539_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WC04_i5-501_i7-19_S2539_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1254892.0	0.0	151.0	35.0	95.56214368563755	151.0	pass	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WC05_i5-501_i7-81_S2540_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WC05_i5-501_i7-81_S2540_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6423.0	0.0	151.0	38.0	97.41553791063366	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	fail
RapidGenomics_F205_GOT_125402_P001_WC05_i5-501_i7-81_S2540_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WC05_i5-501_i7-81_S2540_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6423.0	0.0	151.0	36.0	99.23711661217499	151.0	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	fail
RapidGenomics_F205_GOT_125402_P001_WC06_i5-501_i7-3_S2541_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WC06_i5-501_i7-3_S2541_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1833937.0	0.0	151.0	40.0	83.84971749708389	151.0	pass	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass
RapidGenomics_F205_GOT_125402_P001_WC06_i5-501_i7-3_S2541_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WC06_i5-501_i7-3_S2541_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1833937.0	0.0	151.0	40.0	87.66424873643737	151.0	pass	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WC07_i5-501_i7-62_S2542_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WC07_i5-501_i7-62_S2542_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1285198.0	0.0	151.0	40.0	90.19840592697818	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass
RapidGenomics_F205_GOT_125402_P001_WC07_i5-501_i7-62_S2542_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WC07_i5-501_i7-62_S2542_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1285198.0	0.0	151.0	40.0	92.65147094485275	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WC08_i5-501_i7-17_S2543_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WC08_i5-501_i7-17_S2543_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1670971.0	0.0	151.0	37.0	84.76268409017042	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WC08_i5-501_i7-17_S2543_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WC08_i5-501_i7-17_S2543_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1670971.0	0.0	151.0	37.0	87.68514101942462	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WC09_i5-501_i7-93_S2544_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WC09_i5-501_i7-93_S2544_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2027991.0	0.0	151.0	39.0	92.46482244703378	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P001_WC09_i5-501_i7-93_S2544_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WC09_i5-501_i7-93_S2544_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2027991.0	0.0	151.0	39.0	92.87535654088882	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P001_WC10_i5-501_i7-47_S2545_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WC10_i5-501_i7-47_S2545_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3779072.0	0.0	151.0	36.0	89.91084484398574	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn
RapidGenomics_F205_GOT_125402_P001_WC10_i5-501_i7-47_S2545_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WC10_i5-501_i7-47_S2545_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3779072.0	0.0	151.0	36.0	90.80199257563547	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	warn
RapidGenomics_F205_GOT_125402_P001_WC11_i5-501_i7-70_S2546_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WC11_i5-501_i7-70_S2546_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3133700.0	0.0	151.0	42.0	89.4523248906588	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn
RapidGenomics_F205_GOT_125402_P001_WC11_i5-501_i7-70_S2546_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WC11_i5-501_i7-70_S2546_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3133700.0	0.0	151.0	42.0	90.12196336120178	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn
RapidGenomics_F205_GOT_125402_P001_WC12_i5-501_i7-43_S2547_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WC12_i5-501_i7-43_S2547_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2473313.0	0.0	151.0	35.0	89.18760375177858	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WC12_i5-501_i7-43_S2547_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WC12_i5-501_i7-43_S2547_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2473313.0	0.0	151.0	35.0	89.88006428113894	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WD01_i5-501_i7-52_S2548_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WD01_i5-501_i7-52_S2548_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1627949.0	0.0	151.0	45.0	93.66374473108094	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	fail
