P001_WA08_00018 	Cyperaceae;Carex	Cyperaceae;Hypolytrum	Orchidaceae;Coeloglossum	Ranunculaceae;Trollius	Caryophyllaceae;Silene	Caryophyllaceae;Silene
P001_WD04_00008 	Ericaceae;Cassiope	Ericaceae;Rhododendron	Ericaceae;Pieris	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Primulaceae;Trientalis
P001_WD05_00042 	Poaceae;Avenella	Poaceae;Avenella	Salicaceae;Salix	Poaceae;Deschampsia	Poaceae;Avenella	Poaceae;Festuca
P001_WD05_00043 	Poaceae;Avenella	Poaceae;Avenella	Poaceae;Avenella	Poaceae;Arctagrostis	Poaceae;Alopecurus	Poaceae;Alopecurus
P001_WD08_00026 	Caryophyllaceae;Cerastium	Boraginaceae;Plagiobothrys	Boraginaceae;Myosotis	Plantaginaceae;Pennellianthus	Lamiaceae;Betonica	Orobanchaceae;Pedicularis
P001_WD08_00033 	Caryophyllaceae;Cerastium	Ehretiaceae;Ehretia	Boraginaceae;Myosotis	Plantaginaceae;Veronica	Plantaginaceae;Veronica	Plantaginaceae;Veronica
P001_WD08_00161 	Caryophyllaceae;Cerastium	Caryophyllaceae;Pseudocerastium	Caryophyllaceae;Cerastium	Caryophyllaceae;Cerastium	Cyperaceae;Carex	Caryophyllaceae;Cerastium
P001_WD11_00010 	Crassulaceae;Sedum	Crassulaceae;Rosularia	Crassulaceae;Sempervivum	Crassulaceae;Sedum	Crassulaceae;Rhodiola	Saxifragaceae;Saxifraga
P001_WD11_00103 	Crassulaceae;Sedum	Asteraceae;Taraxacum	Asteraceae;Taraxacum	Cyperaceae;Carex	Asteraceae;Taraxacum	Asteraceae;Taraxacum
P001_WD11_00223 	Crassulaceae;Sedum	Araliaceae;Panax	Apiaceae;Carum	Apiaceae;Carum	Apiaceae;Seseli	Apiaceae;Bupleurum
P001_WD11_00297 	Crassulaceae;Sedum	Asteraceae;Taraxacum	Asteraceae;Taraxacum	Asteraceae;Taraxacum	Cyperaceae;Carex	Asteraceae;Taraxacum
P001_WE11_00017 	Poaceae;Festuca	Poaceae;Festuca	Poaceae;Festuca	Cyperaceae;Carex	Poaceae;Festuca	Poaceae;Festuca
P001_WE11_00131 	Poaceae;Festuca	Asteraceae;Parthenium	Asteraceae;Antennaria	Asteraceae;Antennaria	Poaceae;Festuca	Asteraceae;Antennaria
P001_WE12_00248 	Cyperaceae;Carex	Geraniaceae;Geranium	Geraniaceae;Geranium	Geraniaceae;Geranium	Saxifragaceae;Chrysosplenium	Saxifragaceae;Saxifraga
P001_WE12_00249 	Cyperaceae;Carex	Geraniaceae;Geranium	Asteraceae;Hieracium	Asteraceae;Saussurea	Rosaceae;Sieversia	Asteraceae;Saussurea
P001_WE12_00250 	Cyperaceae;Carex	Geraniaceae;Geranium	Geraniaceae;Geranium	Rosaceae;Dryas	Cyperaceae;Carex	Rosaceae;Dryas
P001_WE12_00251 	Cyperaceae;Carex	Geraniaceae;Geranium	Geraniaceae;Geranium	Geraniaceae;Geranium	Polygonaceae;Polygonum	Polygonaceae;Rumex
P001_WE12_00263 	Cyperaceae;Carex	Poaceae;Phippsia	Poaceae;Hyalopoa	Cyperaceae;Carex	Poaceae;Festuca	Poaceae;Festuca
P001_WE12_00264 	Cyperaceae;Carex	Poaceae;Holcus	Poaceae;Sesleria	Asteraceae;Cirsium	Poaceae;Festuca	Poaceae;Festuca
P001_WE12_00286 	Cyperaceae;Carex	Asteraceae;Taraxacum	Cyperaceae;Carex	Asteraceae;Taraxacum	Asteraceae;Taraxacum	Asteraceae;Taraxacum
P001_WF01_00025 	Equisetaceae;Equisetum	Ranunculaceae;Ranunculus	Equisetaceae;Equisetum	Ranunculaceae;Ranunculus	Caryophyllaceae;Dianthus	Ranunculaceae;Ranunculus
P001_WF01_00027 	Equisetaceae;Equisetum	Ranunculaceae;Ranunculus	Brassicaceae;Arabis	Ranunculaceae;Ranunculus	Caryophyllaceae;Dianthus	Ranunculaceae;Ranunculus
P001_WF01_00035 	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Equisetaceae;Equisetum
P001_WF01_00235 	Equisetaceae;Equisetum	Ranunculaceae;Ranunculus	Equisetaceae;Equisetum	Caryophyllaceae;Dianthus	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus
P001_WF04_00095 	Caryophyllaceae;Silene	Caryophyllaceae;Silene	Saxifragaceae;Chrysosplenium	Saxifragaceae;Saxifraga	Ericaceae;Vaccinium	Ericaceae;Vaccinium
P001_WF04_00096 	Caryophyllaceae;Silene	Caryophyllaceae;Agrostemma	Caryophyllaceae;Viscaria	Caryophyllaceae;Silene	Caryophyllaceae;Silene	Caryophyllaceae;Silene
P001_WF06_00001 	Orobanchaceae;Euphrasia	Orobanchaceae;Euphrasia	Brassicaceae;Arabis	Orobanchaceae;Euphrasia	Orobanchaceae;Euphrasia	Orobanchaceae;Bartsia
P001_WF06_00002 	Orobanchaceae;Euphrasia	Orobanchaceae;Euphrasia	Brassicaceae;Arabis	Salicaceae;Salix	Orobanchaceae;Euphrasia	Orobanchaceae;Euphrasia
P001_WF06_00126 	Orobanchaceae;Euphrasia	Orobanchaceae;Euphrasia	Brassicaceae;Arabis	Orobanchaceae;Euphrasia	Orobanchaceae;Euphrasia	Orobanchaceae;Bartsia
P001_WF06_00141 	Orobanchaceae;Euphrasia	Poaceae;Festuca	Poaceae;Festuca	Gentianaceae;Gentianella	Asteraceae;Cirsium	Poaceae;Festuca
P001_WF07_00017 	Poaceae;Festuca	Poaceae;Festuca	Poaceae;Festuca	Gentianaceae;Gentianella	Asteraceae;Cirsium	Poaceae;Festuca
P001_WF07_00018 	Poaceae;Festuca	Poaceae;Cynosurus	Poaceae;Catabrosella	Poaceae;Hyalopoa	Poaceae;Calamagrostis	Poaceae;Arctagrostis
P001_WF12_00110 	Geraniaceae;Geranium	Geraniaceae;Geranium	Cyperaceae;Carex	Geraniaceae;Geranium	Polygonaceae;Polygonum	Polygonaceae;Rumex
P001_WF12_00111 	Geraniaceae;Geranium	Geraniaceae;Geranium	Geraniaceae;Geranium	Rosaceae;Dryas	Cyperaceae;Carex	Rosaceae;Dryas
P001_WF12_00113 	Geraniaceae;Geranium	Geraniaceae;Geranium	Geraniaceae;Geranium	Geraniaceae;Geranium	Saxifragaceae;Chrysosplenium	Saxifragaceae;Saxifraga
P001_WF12_00114 	Geraniaceae;Geranium	Geraniaceae;Geranium	Geraniaceae;Geranium	Rosaceae;Dryas	Cyperaceae;Carex	Rosaceae;Dryas
P001_WF12_00115 	Geraniaceae;Geranium	Geraniaceae;Geranium	Geraniaceae;Geranium	Betulaceae;Betula	Liliaceae;Fritillaria	Ranunculaceae;Pulsatilla
P001_WF12_00116 	Geraniaceae;Geranium	Geraniaceae;Geranium	Rosaceae;Dryas	Rosaceae;Dryas	Cyperaceae;Carex	Rosaceae;Dryas
P001_WF12_00117 	Geraniaceae;Geranium	Geraniaceae;Geranium	Rosaceae;Spiraea	Apiaceae;Carum	Apiaceae;Carum	Asteraceae;Taraxacum
P001_WF12_00139 	Geraniaceae;Geranium	Poaceae;Holcus	Asteraceae;Leontodon	Liliaceae;Fritillaria	Asteraceae;Hieracium	Asteraceae;Taraxacum
P001_WG03_00092 	Selaginellaceae;Selaginella	Caryophyllaceae;Pseudocerastium	Caryophyllaceae;Cerastium	Caryophyllaceae;Cerastium	Cyperaceae;Carex	Caryophyllaceae;Cerastium
P001_WG03_00416 	Selaginellaceae;Selaginella	Celastraceae;Parnassia	Celastraceae;Parnassia	Ranunculaceae;Thalictrum	Cyperaceae;Carex	Ranunculaceae;Trollius
P001_WG03_00423 	Selaginellaceae;Selaginella	Ranunculaceae;Dichocarpum	Ranunculaceae;Thalictrum	Cyperaceae;Carex	Ranunculaceae;Pulsatilla	Ranunculaceae;Trollius
P001_WG07_00044 	Gentianaceae;Gentianella	Gentianaceae;Swertia	Orobanchaceae;Euphrasia	Gentianaceae;Gentiana	Gentianaceae;Gentiana	Gentianaceae;Gentiana
P001_WG07_00099 	Gentianaceae;Gentianella	Gentianaceae;Swertia	Gentianaceae;Gentianella	Gentianaceae;Gentiana	Orobanchaceae;Euphrasia	Gentianaceae;Gentiana
P001_WG07_00117 	Gentianaceae;Gentianella	Poaceae;Festuca	Poaceae;Festuca	Gentianaceae;Gentianella	Asteraceae;Cirsium	Poaceae;Festuca
P001_WG12_00120 	Poaceae;Catabrosella	Poaceae;Chikusichloa	Poaceae;Catabrosella	Poaceae;Hyalopoa	Poaceae;Calamagrostis	Poaceae;Arctagrostis
P001_WG12_00121 	Poaceae;Catabrosella	Poaceae;Phippsia	Poaceae;Catabrosella	Poaceae;Hyalopoa	Cyperaceae;Carex	Poaceae;Festuca
P001_WG12_00122 	Poaceae;Catabrosella	Poaceae;Sclerochloa	Poaceae;Catabrosella	Poaceae;Hyalopoa	Cyperaceae;Carex	Poaceae;Festuca
P001_WG12_00123 	Poaceae;Catabrosella	Poaceae;Deschampsia	Poaceae;Catabrosella	Brassicaceae;Arabis	Poaceae;Avenella	Selaginellaceae;Selaginella
P001_WG12_00135 	Poaceae;Catabrosella	Poaceae;Deschampsia	Poaceae;Catabrosella	Brassicaceae;Arabis	Poaceae;Avenella	Selaginellaceae;Selaginella
P001_WG12_00136 	Poaceae;Catabrosella	Poaceae;Sclerochloa	Poaceae;Catabrosella	Poaceae;Hyalopoa	Cyperaceae;Carex	Poaceae;Festuca
P001_WG12_00137 	Poaceae;Catabrosella	Poaceae;Phippsia	Poaceae;Catabrosella	Poaceae;Hyalopoa	Cyperaceae;Carex	Poaceae;Festuca
P001_WG12_00138 	Poaceae;Catabrosella	Poaceae;Chikusichloa	Poaceae;Catabrosella	Poaceae;Hyalopoa	Poaceae;Calamagrostis	Poaceae;Arctagrostis
P001_WG12_00141 	Poaceae;Catabrosella	Asteraceae;Taraxacum	Asteraceae;Taraxacum	Asteraceae;Taraxacum	Asteraceae;Taraxacum	Asteraceae;Hieracium
P001_WH06_00137 	Poaceae;Trisetum	Poaceae;Koeleria	Poaceae;Calamagrostis	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis
P001_WH06_00138 	Poaceae;Trisetum	Poaceae;Koeleria	Poaceae;Calamagrostis	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis
P001_WH06_00139 	Poaceae;Trisetum	Poaceae;Koeleria	Poaceae;Festuca	Poaceae;Sesleria	Poaceae;Festuca	Poaceae;Festuca
P001_WH06_00191 	Poaceae;Trisetum	Asteraceae;Taraxacum	Asteraceae;Scorzonera	Asteraceae;Hieracium	Poaceae;Festuca	Asteraceae;Antennaria
P001_WH10_00046 	Hypericaceae;Hypericum	Hypericaceae;Hypericum	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix
P001_WH10_00083 	Hypericaceae;Hypericum	Primulaceae;Primula	Hypericaceae;Hypericum	Primulaceae;Primula	Primulaceae;Primula	Primulaceae;Trientalis
P001_WH10_00115 	Hypericaceae;Hypericum	Asteraceae;Linochilus	Asteraceae;Erigeron	Asteraceae;Erigeron	Asteraceae;Aster	Asteraceae;Erigeron
P002_WA01_00005 	Poaceae;Hyalopoa	Poaceae;Chikusichloa	Poaceae;Catabrosella	Poaceae;Hyalopoa	Poaceae;Calamagrostis	Poaceae;Arctagrostis
P002_WA01_00006 	Poaceae;Hyalopoa	Poaceae;Phippsia	Cyperaceae;Carex	Cyperaceae;Carex	Poaceae;Festuca	Poaceae;Festuca
P002_WA01_00007 	Poaceae;Hyalopoa	Poaceae;Sclerochloa	Poaceae;Catabrosella	Poaceae;Catabrosella	Poaceae;Festuca	Poaceae;Festuca
P002_WA08_00128 	Poaceae;Poa	Poaceae;Poa	Poaceae;Poa	Poaceae;Poa	Poaceae;Poa	Poaceae;Phleum
P002_WA08_00129 	Poaceae;Poa	Poaceae;Poa	Poaceae;Poa	Poaceae;Poa	Poaceae;Poa	Poaceae;Poa
P002_WA10_00105 	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron
P002_WA10_00106 	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Vaccinium	Primulaceae;Trientalis
P002_WA10_00107 	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron
P002_WA11_00114 	Poaceae;Calamagrostis	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis
P002_WA11_00115 	Poaceae;Calamagrostis	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis
P002_WB08_00097 	Poaceae;Poa	Poaceae;Poa	Poaceae;Poa	Poaceae;Poa	Poaceae;Poa	Poaceae;Phleum
P002_WB08_00098 	Poaceae;Poa	Poaceae;Poa	Poaceae;Poa	Poaceae;Poa	Poaceae;Poa	Poaceae;Poa
P002_WB12_00101 	Saxifragaceae;Chrysosplenium	Saxifragaceae;Chrysosplenium	Saxifragaceae;Saxifraga	Salicaceae;Salix	Crassulaceae;Sempervivum	Crassulaceae;Rhodiola
P002_WB12_00102 	Saxifragaceae;Chrysosplenium	Saxifragaceae;Chrysosplenium	Saxifragaceae;Saxifraga	Caryophyllaceae;Silene	Apiaceae;Tilingia	Apiaceae;Ligusticum
P002_WC01_00048 	Rosaceae;Potentilla	Rosaceae;Adenostoma	Orobanchaceae;Pedicularis	Rosaceae;Potentilla	Cyperaceae;Carex	Rosaceae;Dryas
P002_WC01_00176 	Rosaceae;Potentilla	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis
P002_WC01_00177 	Rosaceae;Potentilla	Rosaceae;Potentilla	Orobanchaceae;Pedicularis	Rosaceae;Potentilla	Rosaceae;Potentilla	Rosaceae;Potentilla
P002_WC07_00036 	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron
P002_WC07_00037 	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron
P002_WC07_00039 	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Primulaceae;Trientalis	Primulaceae;Primula	Primulaceae;Primula	Primulaceae;Primula
P002_WD01_00089 	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Rosaceae;Potentilla	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis
P002_WD01_00095 	Orobanchaceae;Pedicularis	Rosaceae;Adenostoma	Orobanchaceae;Pedicularis	Rosaceae;Potentilla	Cyperaceae;Carex	Rosaceae;Dryas
P002_WD01_00106 	Orobanchaceae;Pedicularis	Rosaceae;Potentilla	Orobanchaceae;Pedicularis	Rosaceae;Potentilla	Rosaceae;Potentilla	Rosaceae;Potentilla
P002_WD06_00107 	Poaceae;Deschampsia	Poaceae;Hierochloe	Poaceae;Hierochloe	Poaceae;Hierochloe	Poaceae;Calamagrostis	Poaceae;Agrostis
P002_WD06_00108 	Poaceae;Deschampsia	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis
P002_WD06_00109 	Poaceae;Deschampsia	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis
P002_WD11_00099 	Poaceae;Hierochloe	Poaceae;Hierochloe	Poaceae;Hierochloe	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis
P002_WD11_00100 	Poaceae;Hierochloe	Poaceae;Hierochloe	Poaceae;Hierochloe	Poaceae;Festuca	Poaceae;Calamagrostis	Poaceae;Agrostis
P002_WE07_00168 	Rosaceae;Spiraea	Caryophyllaceae;Colobanthus	Caryophyllaceae;Minuartia	Caryophyllaceae;Minuartia	Caryophyllaceae;Sagina	Primulaceae;Trientalis
P002_WE07_00188 	Rosaceae;Spiraea	Rosaceae;Spiraea	Rosaceae;Dryas	Rosaceae;Dryas	Cyperaceae;Carex	Rosaceae;Dryas
P002_WE08_00023 	Poaceae;Alopecurus	Poaceae;Alopecurus	Poaceae;Alopecurus	Poaceae;Alopecurus	Poaceae;Arctagrostis	Poaceae;Avenella
P002_WE08_00024 	Poaceae;Alopecurus	Poaceae;Alopecurus	Poaceae;Alopecurus	Poaceae;Arctagrostis	Poaceae;Alopecurus	Poaceae;Dupontia
P002_WE08_00025 	Poaceae;Alopecurus	Poaceae;Alopecurus	Poaceae;Alopecurus	Poaceae;Alopecurus	Poaceae;Phleum	Poaceae;Arctagrostis
P002_WE11_00006 	Poaceae;Alopecurus	Poaceae;Alopecurus	Poaceae;Alopecurus	Poaceae;Alopecurus	Poaceae;Arctagrostis	Poaceae;Avenella
P002_WE11_00007 	Poaceae;Alopecurus	Poaceae;Alopecurus	Poaceae;Alopecurus	Poaceae;Arctagrostis	Poaceae;Alopecurus	Poaceae;Dupontia
P002_WE11_00008 	Poaceae;Alopecurus	Poaceae;Alopecurus	Poaceae;Alopecurus	Poaceae;Alopecurus	Poaceae;Phleum	Poaceae;Arctagrostis
P002_WF01_00095 	Poaceae;Calamagrostis	Asteraceae;Carthamus	Asteraceae;Centaurea	Asteraceae;Saussurea	Asteraceae;Saussurea	Asteraceae;Cirsium
P002_WF01_00104 	Poaceae;Calamagrostis	Poaceae;Agrostis	Poaceae;Festuca	Poaceae;Sesleria	Poaceae;Festuca	Poaceae;Festuca
P002_WF01_00105 	Poaceae;Calamagrostis	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis
P002_WF05_00135 	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron
P002_WF05_00136 	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Vaccinium	Primulaceae;Trientalis
P002_WF05_00137 	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron
P002_WF06_00050 	Ericaceae;Phyllodoce	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Primulaceae;Primula
P002_WF06_00051 	Ericaceae;Phyllodoce	Ericaceae;Rhododendron	Plantaginaceae;Pennellianthus	Saxifragaceae;Saxifraga	Ranunculaceae;Trollius	Saxifragaceae;Saxifraga
P002_WF06_00052 	Ericaceae;Phyllodoce	Ericaceae;Rhododendron	Ericaceae;Kalmia	Ericaceae;Harrimanella	Ericaceae;Harrimanella	Ericaceae;Rhododendron
P002_WG02_00107 	Fabaceae;Hedysarum	Plantaginaceae;Veronica	Fabaceae;Hedysarum	Plantaginaceae;Veronica	Plantaginaceae;Veronica	Plantaginaceae;Veronica
P002_WG02_00225 	Fabaceae;Hedysarum	Fabaceae;Hedysarum	Fabaceae;Hedysarum	Fabaceae;Oxytropis	Fabaceae;Oxytropis	Fabaceae;Astragalus
P002_WG05_00125 	Poaceae;Calamagrostis	Poaceae;Chikusichloa	Poaceae;Catabrosella	Poaceae;Hyalopoa	Poaceae;Calamagrostis	Poaceae;Arctagrostis
P002_WG05_00126 	Poaceae;Calamagrostis	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis
P002_WG05_00127 	Poaceae;Calamagrostis	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis
P002_WG12_00127 	Ericaceae;Vaccinium	Ericaceae;Vaccinium	Ericaceae;Vaccinium	Saxifragaceae;Chrysosplenium	Caryophyllaceae;Silene	Saxifragaceae;Saxifraga
P002_WG12_00128 	Ericaceae;Vaccinium	Ericaceae;Vaccinium	Ericaceae;Vaccinium	Ericaceae;Vaccinium	Ericaceae;Harrimanella	Ericaceae;Pieris
P002_WG12_00129 	Ericaceae;Vaccinium	Ericaceae;Vaccinium	Ericaceae;Vaccinium	Ericaceae;Vaccinium	Ericaceae;Vaccinium	Ericaceae;Rhododendron
P002_WG12_00130 	Ericaceae;Vaccinium	Ericaceae;Vaccinium	Ericaceae;Vaccinium	Ericaceae;Vaccinium	Primulaceae;Primula	Primulaceae;Primula
P002_WH02_00023 	Crassulaceae;Sempervivum	Crassulaceae;Sempervivum	Crassulaceae;Sedum	Crassulaceae;Rhodiola	Crassulaceae;Sedum	Cyperaceae;Carex
P002_WH02_00047 	Crassulaceae;Sempervivum	Crassulaceae;Sempervivum	Crassulaceae;Sempervivum	Crassulaceae;Sedum	Crassulaceae;Sedum	Crassulaceae;Rhodiola
P002_WH02_00081 	Crassulaceae;Sempervivum	Crassulaceae;Sedum	Crassulaceae;Sedum	Crassulaceae;Sempervivum	Crassulaceae;Sedum	Crassulaceae;Rhodiola
P002_WH09_00108 	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron
P002_WH09_00109 	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron
P002_WH09_00110 	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron
P002_WH10_00075 	Poaceae;Arctagrostis	Poaceae;Holcus	Poaceae;Avenella	Poaceae;Alopecurus	Poaceae;Alopecurus	Poaceae;Alopecurus
P002_WH10_00076 	Poaceae;Arctagrostis	Poaceae;Cinna	Poaceae;Arctophila	Poaceae;Dupontia	Poaceae;Phleum	Poaceae;Poa
P002_WH10_00077 	Poaceae;Arctagrostis	Poaceae;Chikusichloa	Poaceae;Catabrosella	Poaceae;Hyalopoa	Poaceae;Calamagrostis	Poaceae;Arctagrostis
P003_WA02_00007 	Poaceae;Poa	Poaceae;Poa	Poaceae;Alopecurus	Poaceae;Alopecurus	Poaceae;Arctagrostis	Poaceae;Alopecurus
P003_WA02_00008 	Poaceae;Poa	Poaceae;Holcus	Poaceae;Sesleria	Asteraceae;Cirsium	Poaceae;Festuca	Poaceae;Festuca
