P001_WA03_00049 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Asteraceae;Cirsium;
P001_WE12_00127 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Asteraceae;Cirsium; 	Cyperaceae;Carex;
P001_WE12_00197 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Asteraceae;Cirsium; 	Cyperaceae;Carex;
P001_WF11_00062 	Apiaceae;Seseli; 	Apiaceae;Peucedanum	Apiaceae;Bupleurum; 	Polygonaceae;Persicaria; 	Polygonaceae;Bistorta; 	Primulaceae;Androsace;
P001_WG04_00075 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Asteraceae;Cirsium; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WG12_00101 	Poaceae;Catabrosella; 	Poaceae;Deschampsia	Cyperaceae;Carex; 	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca;
P001_WH05_00094 	Plantaginaceae;Veronica; 	Plantaginaceae;Veronica	Plantaginaceae;Veronica; 	Plantaginaceae;Veronica; 	Asteraceae;Cirsium; 	Fabaceae;Hedysarum;
P001_WH06_00116 	Poaceae;Trisetum; 	Poaceae;Koeleria	Poaceae;Hierochloe; 	Poaceae;Hierochloe; 	Poaceae;Hyalopoa; 	Poaceae;Helictotrichon;
P001_WH10_00051 	Hypericaceae;Hypericum; 	Hypericaceae;Hypericum	Fabaceae;Astragalus; 	Brassicaceae;Draba; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga;
P002_WA01_00108 	Poaceae;Hyalopoa; 	Poaceae;Sclerochloa	Poaceae;Hierochloe; 	Poaceae;Hierochloe; 	Poaceae;Avenella; 	Poaceae;Helictotrichon;
P002_WA03_00067 	Poaceae;Festuca; 	Poaceae;Holcus	Poaceae;Poa; 	Poaceae;Poa; 	Poaceae;Alopecurus; 	Poaceae;Poa;
P002_WA08_00091 	Poaceae;Poa; 	Poaceae;Holcus	Poaceae;Poa; 	Poaceae;Poa; 	Poaceae;Alopecurus; 	Poaceae;Poa;
P002_WA11_00049 	Poaceae;Calamagrostis; 	Poaceae;Avena	Poaceae;Deschampsia; 	Poaceae;Agrostis; 	Poaceae;Calamagrostis; 	Poaceae;Agrostis;
P002_WB04_00071 	Poaceae;Helictotrichon; 	Poaceae;Helictochloa	Poaceae;Hyalopoa; 	Poaceae;Hierochloe; 	Poaceae;Hierochloe; 	Poaceae;Avenella;
P002_WB05_00066 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis	Apiaceae;Bupleurum; 	Caryophyllaceae;Minuartia; 	Fabaceae;Hedysarum; 	Apiaceae;Seseli;
P002_WB08_00120 	Poaceae;Poa; 	Poaceae;Poa	Poaceae;Arctagrostis; 	Poaceae;Poa; 	Poaceae;Hyalopoa; 	Poaceae;Bromus;
P002_WC10_00038 	Polygonaceae;Persicaria; 	Polygonaceae;Bistorta	Polygonaceae;Bistorta; 	Polygonaceae;Bistorta; 	Polygonaceae;Polygonum; 	Apiaceae;Seseli;
P002_WD06_00076 	Poaceae;Deschampsia; 	Poaceae;Avena	Poaceae;Deschampsia; 	Poaceae;Agrostis; 	Poaceae;Calamagrostis; 	Poaceae;Agrostis;
P002_WD11_00054 	Poaceae;Hierochloe; 	Poaceae;Hierochloe	Poaceae;Hierochloe; 	Poaceae;Hyalopoa; 	Poaceae;Helictotrichon; 	Poaceae;Avenella;
P002_WE07_00176 	Rosaceae;Spiraea; 	Caryophyllaceae;Silene	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Sagina; 	Saxifragaceae;Saxifraga;
P002_WE11_00022 	Poaceae;Alopecurus; 	Poaceae;Holcus	Poaceae;Poa; 	Poaceae;Poa; 	Poaceae;Alopecurus; 	Poaceae;Poa;
P002_WF02_00011 	Plantaginaceae;Veronica; 	Plantaginaceae;Veronica	Fabaceae;Hedysarum; 	Plantaginaceae;Veronica; 	Plantaginaceae;Veronica; 	Asteraceae;Cirsium;
P002_WF07_00034 	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Colobanthus	Apiaceae;Bupleurum; 	Orobanchaceae;Pedicularis; 	Polygonaceae;Bistorta; 	Polygonaceae;Polygonum;
P002_WF07_00059 	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Dianthus	Caryophyllaceae;Sagina; 	Rosaceae;Spiraea; 	Caryophyllaceae;Minuartia; 	Saxifragaceae;Saxifraga;
P002_WG02_00101 	Fabaceae;Hedysarum; 	Plantaginaceae;Veronica	Fabaceae;Hedysarum; 	Plantaginaceae;Veronica; 	Plantaginaceae;Veronica; 	Asteraceae;Cirsium;
P002_WG06_00092 	Juncaceae;Juncus; 	Juncaceae;Juncus	Juncaceae;Juncus; 	Juncaceae;Juncus; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga;
P002_WG07_00039 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Asteraceae;Cirsium; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P002_WH08_00089 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P002_WH08_00141 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Asteraceae;Cirsium; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P002_WH10_00037 	Poaceae;Arctagrostis; 	Poaceae;Poa	Poaceae;Arctagrostis; 	Poaceae;Poa; 	Poaceae;Hyalopoa; 	Poaceae;Bromus;
P003_WA02_00101 	Poaceae;Poa; 	Poaceae;Holcus	Poaceae;Poa; 	Poaceae;Poa; 	Poaceae;Alopecurus; 	Poaceae;Poa;
P003_WA03_00055 	Polygonaceae;Bistorta; 	Polygonaceae;Bistorta	Polygonaceae;Bistorta; 	Polygonaceae;Bistorta; 	Polygonaceae;Polygonum; 	Apiaceae;Seseli;
P003_WA06_00066 	Poaceae;Festuca; 	Poaceae;Castellia	Cyperaceae;Carex; 	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca;
P003_WA07_00041 	Cyperaceae;Carex; 	Poaceae;Castellia	Cyperaceae;Carex; 	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca;
P003_WB03_00021 	Equisetaceae;Equisetum; 	Equisetaceae;Equisetum	Equisetaceae;Equisetum; 	Equisetaceae;Equisetum; 	Equisetaceae;Equisetum; 	Equisetaceae;Equisetum;
P003_WB10_00071 	Fabaceae;Hedysarum; 	Fabaceae;Hedysarum	Orobanchaceae;Pedicularis; 	Caryophyllaceae;Minuartia; 	Polygonaceae;Persicaria; 	Polygonaceae;Bistorta;
P003_WC01_00070 	Polygonaceae;Bistorta; 	Polygonaceae;Bistorta	Polygonaceae;Polygonum; 	Polygonaceae;Persicaria; 	Polygonaceae;Bistorta; 	Apiaceae;Seseli;
P003_WC04_00009 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Asteraceae;Cirsium; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P003_WC08_00110 	Poaceae;Poa; 	Poaceae;Holcus	Poaceae;Poa; 	Poaceae;Poa; 	Poaceae;Alopecurus; 	Poaceae;Poa;
P003_WC09_00032 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P003_WC09_00122 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Asteraceae;Cirsium; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P003_WD10_00012 	Caryophyllaceae;Sagina; 	Caryophyllaceae;Colobanthus	Caryophyllaceae;Minuartia; 	Rosaceae;Spiraea; 	Caryophyllaceae;Minuartia; 	Saxifragaceae;Saxifraga;
P003_WD11_00055 	Primulaceae;Androsace; 	Primulaceae;Androsace	Apiaceae;Seseli; 	Apiaceae;Bupleurum; 	Violaceae;Viola; 	Campanulaceae;Campanula;
P003_WD12_00101 	Plantaginaceae;Veronica; 	Plantaginaceae;Veronica	Plantaginaceae;Veronica; 	Plantaginaceae;Veronica; 	Asteraceae;Cirsium; 	Fabaceae;Hedysarum;
P003_WE02_00070 	Poaceae;Festuca; 	Poaceae;Castellia	Cyperaceae;Carex; 	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca;
P003_WE04_00111 	Poaceae;Agrostis; 	Poaceae;Avena	Poaceae;Deschampsia; 	Poaceae;Agrostis; 	Poaceae;Calamagrostis; 	Poaceae;Agrostis;
P003_WE08_00084 	Plantaginaceae;Veronica; 	Plantaginaceae;Veronica	Plantaginaceae;Veronica; 	Plantaginaceae;Veronica; 	Asteraceae;Cirsium; 	Fabaceae;Hedysarum;
P003_WF03_00143 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Asteraceae;Cirsium; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P003_WF10_00020 	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Silene	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Sagina; 	Saxifragaceae;Saxifraga;
P003_WG02_00020 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Asteraceae;Cirsium; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P003_WG08_00025 	Brassicaceae;Draba; 	Cornaceae;Cornus	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga; 	Plantaginaceae;Veronica; 	Asteraceae;Cirsium;
P003_WG09_00112 	Poaceae;Sesleria; 	Poaceae;Elymus	Poaceae;Poa; 	Poaceae;Poa; 	Poaceae;Alopecurus; 	Poaceae;Poa;
P003_WG10_00045 	Juncaceae;Juncus; 	Juncaceae;Juncus	Juncaceae;Juncus; 	Juncaceae;Juncus; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga;
P003_WG11_00105 	Asteraceae;Cirsium; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Asteraceae;Cirsium; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P003_WG11_00205 	Asteraceae;Cirsium; 	Plantaginaceae;Veronica	Plantaginaceae;Veronica; 	Plantaginaceae;Veronica; 	Asteraceae;Cirsium; 	Fabaceae;Hedysarum;
P003_WG11_00383 	Asteraceae;Cirsium; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Asteraceae;Cirsium; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P003_WG12_00104 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Asteraceae;Cirsium; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P003_WH06_00030 	Saxifragaceae;Saxifraga; 	Cornaceae;Cornus	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga; 	Plantaginaceae;Veronica; 	Asteraceae;Cirsium;
P004_WB01_00021 	Poaceae;Alopecurus; 	Poaceae;Holcus	Poaceae;Poa; 	Poaceae;Poa; 	Poaceae;Alopecurus; 	Poaceae;Poa;
P004_WC01_00106 	Poaceae;Hierochloe; 	Poaceae;Hierochloe	Poaceae;Hierochloe; 	Poaceae;Hyalopoa; 	Poaceae;Helictotrichon; 	Poaceae;Avenella;
P004_WC02_00073 	Polygonaceae;Polygonum; 	Polygonaceae;Bistorta	Polygonaceae;Polygonum; 	Polygonaceae;Persicaria; 	Polygonaceae;Bistorta; 	Apiaceae;Seseli;
P004_WD01_00104 	Poaceae;Festuca; 	Poaceae;Castellia	Cyperaceae;Carex; 	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca;
P004_WF01_00060 	Cupressaceae;Juniperus; 	Cupressaceae;Juniperus	Cupressaceae;Juniperus; 	Juncaceae;Luzula; 	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Sagina;
P8807_506_00107 	Poaceae;Festuca; 	Poaceae;Castellia	Cyperaceae;Carex; 	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca;
P8807_510_00108 	Violaceae;Viola; 	Violaceae;Viola	Apiaceae;Seseli; 	Polygonaceae;Bistorta; 	Polygonaceae;Bistorta; 	Polygonaceae;Polygonum;
P8807_511_00096 	Poaceae;Poa; 	Poaceae;Holcus	Poaceae;Poa; 	Poaceae;Poa; 	Poaceae;Alopecurus; 	Poaceae;Poa;
P8807_518_00108 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Asteraceae;Cirsium;
P8807_520_00040 	Juncaceae;Juncus; 	Cyperaceae;Hypolytrum	Cyperaceae;Carex; 	Asteraceae;Cirsium; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P8807_520_00126 	Juncaceae;Juncus; 	Juncaceae;Juncus	Juncaceae;Juncus; 	Juncaceae;Juncus; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga;
P8807_521_00140 	Ericaceae;Vaccinium; 	Ericaceae;Vaccinium	Ericaceae;Vaccinium; 	Apiaceae;Seseli; 	Orobanchaceae;Pedicularis; 	Polygonaceae;Bistorta;
P8807_527_00057 	Fabaceae;Astragalus; 	Fabaceae;Astragalus	Rosaceae;Spiraea; 	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Minuartia; 	Saxifragaceae;Saxifraga;
P8807_528_00120 	Diapensiaceae;Diapensia; 	Diapensiaceae;Diapensia	Apiaceae;Seseli; 	Orobanchaceae;Pedicularis; 	Caryophyllaceae;Minuartia; 	Primulaceae;Androsace;
P8807_530_00068 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Asteraceae;Cirsium;
WA03_00017 	Poaceae;Calamagrostis; 	Poaceae;Avena	Poaceae;Deschampsia; 	Poaceae;Agrostis; 	Poaceae;Calamagrostis; 	Poaceae;Agrostis;
WA10_00028 	Juncaceae;Luzula; 	Cupressaceae;Juniperus	Cupressaceae;Juniperus; 	Juncaceae;Luzula; 	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Minuartia;
WA11_00055 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Asteraceae;Cirsium; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
WB02_00002 	Geraniaceae;Geranium; 	Geraniaceae;Geranium	Rosaceae;Spiraea; 	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Minuartia; 	Saxifragaceae;Saxifraga;
WB06_00109 	Poaceae;Poa; 	Poaceae;Poa	Poaceae;Arctagrostis; 	Poaceae;Poa; 	Poaceae;Hyalopoa; 	Poaceae;Bromus;
WB09_00024 	Saxifragaceae;Saxifraga; 	Cornaceae;Cornus	Brassicaceae;Draba; 	Saxifragaceae;Saxifraga; 	Plantaginaceae;Veronica; 	Asteraceae;Cirsium;
WC01_00141 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
WC04_00032 	Poaceae;Agrostis; 	Poaceae;Avena	Poaceae;Deschampsia; 	Poaceae;Agrostis; 	Poaceae;Calamagrostis; 	Poaceae;Agrostis;
WC06_00118 	Ericaceae;Vaccinium; 	Ericaceae;Vaccinium	Ericaceae;Vaccinium; 	Apiaceae;Seseli; 	Orobanchaceae;Pedicularis; 	Polygonaceae;Bistorta;
