P001_WA10_00024 	Rubiaceae	Rubiaceae	Orobanchaceae	Ericaceae	Ericaceae	Ericaceae	Rubiaceae	98%	56	k141_172210
P003_WD11_00116 	Primulaceae	Primulaceae	Polygonaceae	Polygonaceae	Polygonaceae	Primulaceae	Primulaceae	100%	60	k141_108367
P003_WD12_00086 	Plantaginaceae	Plantaginaceae	Orobanchaceae	Orobanchaceae	Rosaceae	Orobanchaceae	Plantaginaceae	96%	57	k141_26413
P003_WD12_00151 	Plantaginaceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	100%	22	k141_28696
P003_WE11_00078 	Cyperaceae	Cyperaceae	Juncaceae	Juncaceae	Juncaceae	Juncaceae	Juncaceae	66%	4	k141_66133
P003_WE12_00210 	Caryophyllaceae	Caryophyllaceae	Ranunculaceae	Caryophyllaceae	Rosaceae	Caryophyllaceae	Caryophyllaceae	100%	5	k141_47669
P003_WF01_00141 	Onagraceae	Onagraceae	Polygonaceae	Polygonaceae	Polygonaceae	Plantaginaceae	Onagraceae	98%	58	k141_57488
P003_WF02_00099 	Rosaceae	Rosaceae	Rosaceae	Cyperaceae	Rosaceae	Juncaceae	Rosaceae	100%	60	k141_7032
P003_WF06_00118 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Juncaceae	Asteraceae	100%	59	k141_166666
P003_WF10_00033 	Caryophyllaceae	Caryophyllaceae	Rosaceae	Caryophyllaceae	Ranunculaceae	Caryophyllaceae	Caryophyllaceae	100%	45	k141_36157
P003_WF11_00140 	Ranunculaceae	Caryophyllaceae	Ranunculaceae	Caryophyllaceae	Rosaceae	Caryophyllaceae	Caryophyllaceae	100%	8	k141_1512
P003_WG02_00270 	Cyperaceae	Rosaceae	Rosaceae	Cyperaceae	Rosaceae	Juncaceae	Rosaceae	100%	5	k141_50431
P003_WG03_00115 	Primulaceae	Primulaceae	Primulaceae	Primulaceae	Primulaceae	Primulaceae	Primulaceae	100%	12	k141_51975
P003_WG06_00099 	Lentibulariaceae	Lentibulariaceae	Plantaginaceae	Lamiaceae	Rosaceae	Orobanchaceae	Lentibulariaceae	100%	10	k141_27130
P003_WG07_00027 	Orobanchaceae	Orobanchaceae	Rosaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae	100%	3	k141_15452
P003_WG11_00372 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	100%	59	k141_30669
P003_WH01_00028 	Orobanchaceae	Orobanchaceae	Rosaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae	100%	18	k141_97284
P003_WH06_00118 	Saxifragaceae	Saxifragaceae	Saxifragaceae	Ranunculaceae	Ranunculaceae	Crassulaceae	Saxifragaceae	98%	56	k141_15280
P003_WH10_00078 	Brassicaceae	Brassicaceae	Rosaceae	Betulaceae	Betulaceae	Rosaceae	Brassicaceae	100%	56	k141_67814
P004_WB02_00054 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	100%	5	k141_13485
P004_WC02_00023 	Polygonaceae	Polygonaceae	Polygonaceae	Polygonaceae	Primulaceae	Ranunculaceae	Polygonaceae	100%	17	k141_45115
P004_WD02_00094 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	100%	58	k141_78822
P8807_508_00087 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	100%	17	k141_34828
P8807_515_00008 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Plantaginaceae	Asteraceae	Asteraceae	100%	16	k141_17948
P8807_517_00098 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	100%	4	k141_208627
P8807_520_00013 	Juncaceae	Asparagaceae	Juncaceae	Juncaceae	Juncaceae	Juncaceae	Juncaceae	83%	5	k141_11245
P8807_521_00103 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	100%	4	k141_176672
WA01_00117 	Rosaceae	Rosaceae	Orobanchaceae	Rosaceae	Rosaceae	Cyperaceae	Rosaceae	100%	22	k141_70437
WB02_00113 	Geraniaceae	Geraniaceae	Onagraceae	Betulaceae	Rosaceae	Cyperaceae	Geraniaceae	100%	2	k141_26430
WB03_00059 	Campanulaceae	Campanulaceae	Campanulaceae	Campanulaceae	Campanulaceae	Ranunculaceae	Campanulaceae	100%	3	k141_13247
WB11_00092 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	98%	59	k141_14085
WC03_00055 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	100%	10	k141_7787
WC06_00060 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	100%	4	k141_56394
