P001_WA10_00024 	Rubiaceae;Cruciata; 	Rubiaceae;Rubia	Orobanchaceae;Pedicularis; 	Ericaceae;Vaccinium; 	Ericaceae;Vaccinium; 	Ericaceae;Vaccinium;
P001_WH11_00053 	Asteraceae;Erigeron; 	Asteraceae;Pityopsis	Asteraceae;Erigeron; 	Asteraceae;Erigeron; 	Asteraceae;Solidago; 	Juncaceae;Luzula;
P002_WA09_00092 	Rosaceae;Dryas; 	Rosaceae;Dryas	Rosaceae;Dryas; 	Cyperaceae;Carex; 	Rosaceae;Spiraea; 	Juncaceae;Luzula;
P002_WB02_00051 	Primulaceae;Primula; 	Primulaceae;Primula	Primulaceae;Primula; 	Primulaceae;Androsace; 	Primulaceae;Soldanella; 	Primulaceae;Soldanella;
P002_WB05_00120 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis	Rosaceae;Potentilla; 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis;
P002_WC01_00068 	Rosaceae;Potentilla; 	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis;
P002_WC01_00152 	Rosaceae;Potentilla; 	Rosaceae;Potentilla	Orobanchaceae;Pedicularis; 	Rosaceae;Potentilla; 	Rosaceae;Spiraea; 	Cyperaceae;Carex;
P002_WC04_00005 	Asteraceae;Aster; 	Asteraceae;Llerasia	Juncaceae;Luzula; 	Asteraceae;Leontodon; 	Asteraceae;Leontodon; 	Asteraceae;Centaurea;
P002_WC06_00110 	Juncaceae;Luzula; 	Cyperaceae;Cyperus	Juncaceae;Luzula; 	Juncaceae;Luzula; 	Juncaceae;Luzula; 	Juncaceae;Luzula;
P002_WC10_00078 	Polygonaceae;Persicaria; 	Polygonaceae;Bistorta	Polygonaceae;Bistorta; 	Polygonaceae;Polygonum; 	Primulaceae;Androsace; 	Ranunculaceae;Ranunculus;
P002_WD01_00077 	Orobanchaceae;Pedicularis; 	Rosaceae;Potentilla	Orobanchaceae;Pedicularis; 	Rosaceae;Potentilla; 	Rosaceae;Spiraea; 	Cyperaceae;Carex;
P002_WD01_00119 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis;
P002_WD03_00109 	Asteraceae;Erigeron; 	Asteraceae;Pityopsis	Asteraceae;Erigeron; 	Asteraceae;Erigeron; 	Asteraceae;Solidago; 	Juncaceae;Luzula;
P002_WD05_00082 	Plantaginaceae;Pennellianthus; 	Plantaginaceae;Antirrhinum	Lamiaceae;Betonica; 	Plantaginaceae;Veronica; 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis;
P002_WD07_00082 	Asteraceae;Saussurea; 	Asteraceae;Saussurea	Asteraceae;Saussurea; 	Asteraceae;Centaurea; 	Plantaginaceae;Veronica; 	Asteraceae;Cirsium;
P002_WE01_00095 	Asteraceae;Centaurea; 	Asteraceae;Carthamus	Asteraceae;Leontodon; 	Asteraceae;Leontodon; 	Asteraceae;Saussurea; 	Asteraceae;Saussurea;
P002_WE04_00044 	Ranunculaceae;Anemone; 	Ranunculaceae;Anemone	Ranunculaceae;Anemone; 	Campanulaceae;Campanula; 	Campanulaceae;Campanula; 	Campanulaceae;Campanula;
P002_WE05_00036 	Campanulaceae;Campanula; 	Campanulaceae;Campanula	Campanulaceae;Campanula; 	Campanulaceae;Campanula; 	Campanulaceae;Campanula; 	Ranunculaceae;Anemone;
P002_WE07_00143 	Rosaceae;Spiraea; 	Rosaceae;Sibiraea	Rosaceae;Dryas; 	Rosaceae;Dryas; 	Cyperaceae;Carex; 	Rosaceae;Potentilla;
P002_WE07_00151 	Rosaceae;Spiraea; 	Caryophyllaceae;Psammosilene	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Dianthus; 	Ranunculaceae;Ranunculus; 	Caryophyllaceae;Cerastium;
P002_WE09_00074 	Betulaceae;Betula; 	Betulaceae;Betula	Betulaceae;Betula; 	Rosaceae;Spiraea; 	Rosaceae;Dryas; 	Cyperaceae;Carex;
P002_WF06_00092 	Ericaceae;Phyllodoce; 	Theaceae;Camellia	Ericaceae;Pieris; 	Ericaceae;Vaccinium; 	Ericaceae;Pyrola; 	Ericaceae;Vaccinium;
P002_WF11_00022 	Juncaceae;Luzula; 	Cyperaceae;Cyperus	Juncaceae;Luzula; 	Juncaceae;Luzula; 	Juncaceae;Luzula; 	Juncaceae;Luzula;
P002_WG06_00004 	Juncaceae;Juncus; 	Juncaceae;Juncus	Campanulaceae;Campanula; 	Campanulaceae;Campanula; 	Campanulaceae;Campanula; 	Campanulaceae;Campanula;
P002_WG10_00102 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Tanakaea	Saxifragaceae;Saxifraga; 	Ranunculaceae;Ranunculus; 	Ranunculaceae;Pulsatilla; 	Crassulaceae;Sedum;
P002_WG12_00117 	Ericaceae;Vaccinium; 	Ericaceae;Vaccinium	Ericaceae;Vaccinium; 	Ericaceae;Vaccinium; 	Ericaceae;Vaccinium; 	Ericaceae;Pieris;
P002_WH01_00114 	Ranunculaceae;Pulsatilla; 	Ranunculaceae;Naravelia	Ranunculaceae;Ranunculus; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga; 	Crassulaceae;Sedum;
P002_WH04_00038 	Apiaceae;Bupleurum; 	Apiaceae;Bupleurum	Apiaceae;Bupleurum; 	Asteraceae;Leontodon; 	Asteraceae;Centaurea; 	Juncaceae;Luzula;
P002_WH05_00032 	Ranunculaceae;Anemone; 	Ranunculaceae;Anemone	Ranunculaceae;Anemone; 	Campanulaceae;Campanula; 	Campanulaceae;Campanula; 	Campanulaceae;Campanula;
P002_WH06_00030 	Asteraceae;Artemisia; 	Asteraceae;Artemisia	Asteraceae;Anthemis; 	Juncaceae;Luzula; 	Asteraceae;Solidago; 	Asteraceae;Saussurea;
P003_WA04_00103 	Crassulaceae;Sedum; 	Crassulaceae;Graptopetalum	Ranunculaceae;Ranunculus; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga; 	Campanulaceae;Campanula;
P003_WA09_00076 	Caryophyllaceae;Cerastium; 	Caryophyllaceae;Cerastium	Caryophyllaceae;Cerastium; 	Caryophyllaceae;Dianthus; 	Caryophyllaceae;Minuartia; 	Ranunculaceae;Ranunculus;
P003_WA11_00005 	Primulaceae;Soldanella; 	Primulaceae;Primula	Primulaceae;Soldanella; 	Primulaceae;Androsace; 	Primulaceae;Primula; 	Primulaceae;Primula;
P003_WC01_00105 	Polygonaceae;Bistorta; 	Polygonaceae;Bistorta	Polygonaceae;Bistorta; 	Polygonaceae;Polygonum; 	Primulaceae;Androsace; 	Ranunculaceae;Ranunculus;
P003_WC07_00110 	Juncaceae;Luzula; 	Cyperaceae;Cyperus	Juncaceae;Luzula; 	Juncaceae;Luzula; 	Juncaceae;Luzula; 	Juncaceae;Luzula;
P003_WC12_00056 	Juncaceae;Luzula; 	Asteraceae;Llerasia	Juncaceae;Luzula; 	Asteraceae;Leontodon; 	Asteraceae;Leontodon; 	Asteraceae;Centaurea;
P003_WC12_00102 	Juncaceae;Luzula; 	Cyperaceae;Cyperus	Juncaceae;Luzula; 	Juncaceae;Luzula; 	Juncaceae;Luzula; 	Juncaceae;Luzula;
P003_WD11_00116 	Primulaceae;Androsace; 	Primulaceae;Androsace	Polygonaceae;Persicaria; 	Polygonaceae;Bistorta; 	Polygonaceae;Polygonum; 	Primulaceae;Primula;
P003_WD12_00086 	Plantaginaceae;Veronica; 	Plantaginaceae;Neopicrorhiza	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis; 	Rosaceae;Potentilla; 	Orobanchaceae;Pedicularis;
P003_WD12_00151 	Plantaginaceae;Veronica; 	Asteraceae;Cirsium	Asteraceae;Cirsium; 	Asteraceae;Centaurea; 	Asteraceae;Saussurea; 	Asteraceae;Saussurea;
P003_WE11_00078 	Cyperaceae;Carex; 	Cyperaceae;Cyperus	Juncaceae;Luzula; 	Juncaceae;Luzula; 	Juncaceae;Luzula; 	Juncaceae;Luzula;
P003_WE12_00210 	Caryophyllaceae;Dianthus; 	Caryophyllaceae;Dianthus	Ranunculaceae;Ranunculus; 	Caryophyllaceae;Minuartia; 	Rosaceae;Spiraea; 	Caryophyllaceae;Cerastium;
P003_WF01_00141 	Onagraceae;Epilobium; 	Onagraceae;Epilobium	Polygonaceae;Polygonum; 	Polygonaceae;Persicaria; 	Polygonaceae;Bistorta; 	Plantaginaceae;Veronica;
P003_WF02_00099 	Rosaceae;Dryas; 	Rosaceae;Dryas	Rosaceae;Dryas; 	Cyperaceae;Carex; 	Rosaceae;Spiraea; 	Juncaceae;Luzula;
P003_WF06_00118 	Asteraceae;Solidago; 	Asteraceae;Pityopsis	Asteraceae;Erigeron; 	Asteraceae;Erigeron; 	Asteraceae;Solidago; 	Juncaceae;Luzula;
P003_WF10_00033 	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Colobanthus	Rosaceae;Spiraea; 	Caryophyllaceae;Dianthus; 	Ranunculaceae;Ranunculus; 	Caryophyllaceae;Cerastium;
P003_WF11_00140 	Ranunculaceae;Ranunculus; 	Caryophyllaceae;Dianthus	Ranunculaceae;Ranunculus; 	Caryophyllaceae;Minuartia; 	Rosaceae;Spiraea; 	Caryophyllaceae;Cerastium;
P003_WG02_00270 	Cyperaceae;Carex; 	Rosaceae;Dryas	Rosaceae;Dryas; 	Cyperaceae;Carex; 	Rosaceae;Spiraea; 	Juncaceae;Luzula;
P003_WG03_00115 	Primulaceae;Soldanella; 	Primulaceae;Primula	Primulaceae;Soldanella; 	Primulaceae;Androsace; 	Primulaceae;Primula; 	Primulaceae;Primula;
P003_WG06_00099 	Lentibulariaceae;Pinguicula; 	Lentibulariaceae;Pinguicula	Plantaginaceae;Pennellianthus; 	Lamiaceae;Betonica; 	Rosaceae;Potentilla; 	Orobanchaceae;Pedicularis;
P003_WG07_00027 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis	Rosaceae;Potentilla; 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis;
P003_WG11_00372 	Asteraceae;Cirsium; 	Asteraceae;Cirsium	Asteraceae;Cirsium; 	Asteraceae;Centaurea; 	Asteraceae;Saussurea; 	Asteraceae;Saussurea;
P003_WH01_00028 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis	Rosaceae;Potentilla; 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis;
P003_WH06_00118 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Micranthes	Saxifragaceae;Saxifraga; 	Ranunculaceae;Ranunculus; 	Ranunculaceae;Pulsatilla; 	Crassulaceae;Sedum;
P003_WH10_00078 	Brassicaceae;Arabis; 	Brassicaceae;Arabis	Rosaceae;Spiraea; 	Betulaceae;Betula; 	Betulaceae;Betula; 	Rosaceae;Potentilla;
P004_WB02_00054 	Ericaceae;Pieris; 	Ericaceae;Vaccinium	Ericaceae;Vaccinium; 	Ericaceae;Vaccinium; 	Ericaceae;Vaccinium; 	Ericaceae;Vaccinium;
P004_WC02_00023 	Polygonaceae;Polygonum; 	Polygonaceae;Bistorta	Polygonaceae;Persicaria; 	Polygonaceae;Bistorta; 	Primulaceae;Androsace; 	Ranunculaceae;Ranunculus;
P004_WD02_00094 	Asteraceae;Antennaria; 	Asteraceae;Antennaria	Asteraceae;Antennaria; 	Asteraceae;Gnaphalium; 	Asteraceae;Hieracium; 	Asteraceae;Hieracium;
P8807_508_00087 	Asteraceae;Hieracium; 	Asteraceae;Eriophyllum	Asteraceae;Hieracium; 	Asteraceae;Leontodon; 	Asteraceae;Leontodon; 	Asteraceae;Centaurea;
P8807_515_00008 	Asteraceae;Saussurea; 	Asteraceae;Saussurea	Asteraceae;Saussurea; 	Asteraceae;Centaurea; 	Plantaginaceae;Veronica; 	Asteraceae;Cirsium;
P8807_517_00098 	Ericaceae;Vaccinium; 	Ericaceae;Vaccinium	Ericaceae;Vaccinium; 	Ericaceae;Vaccinium; 	Ericaceae;Vaccinium; 	Ericaceae;Pieris;
P8807_520_00013 	Juncaceae;Juncus; 	Asparagaceae;Aphyllanthes	Juncaceae;Luzula; 	Juncaceae;Luzula; 	Juncaceae;Luzula; 	Juncaceae;Luzula;
P8807_521_00103 	Ericaceae;Vaccinium; 	Ericaceae;Vaccinium	Ericaceae;Vaccinium; 	Ericaceae;Vaccinium; 	Ericaceae;Vaccinium; 	Ericaceae;Pieris;
WA01_00117 	Rosaceae;Potentilla; 	Rosaceae;Potentilla	Orobanchaceae;Pedicularis; 	Rosaceae;Potentilla; 	Rosaceae;Spiraea; 	Cyperaceae;Carex;
WB02_00113 	Geraniaceae;Geranium; 	Geraniaceae;Geranium	Onagraceae;Epilobium; 	Betulaceae;Betula; 	Rosaceae;Dryas; 	Cyperaceae;Carex;
WB03_00059 	Campanulaceae;Campanula; 	Campanulaceae;Campanula	Campanulaceae;Campanula; 	Campanulaceae;Campanula; 	Campanulaceae;Campanula; 	Ranunculaceae;Anemone;
WB11_00092 	Asteraceae;Hieracium; 	Asteraceae;Eriophyllum	Asteraceae;Hieracium; 	Asteraceae;Leontodon; 	Asteraceae;Leontodon; 	Asteraceae;Centaurea;
WC03_00055 	Ericaceae;Pyrola; 	Ericaceae;Pyrola	Ericaceae;Pieris; 	Ericaceae;Vaccinium; 	Ericaceae;Vaccinium; 	Ericaceae;Vaccinium;
WC06_00060 	Ericaceae;Vaccinium; 	Ericaceae;Vaccinium	Ericaceae;Vaccinium; 	Ericaceae;Vaccinium; 	Ericaceae;Vaccinium; 	Ericaceae;Pieris;
