P001_WB01_00103 	Brassicaceae;Arabis	Poaceae;Avenella	Poaceae;Deschampsia	Poaceae;Avenella	Poaceae;Poa	Poaceae;Poa
P001_WH03_00115 	Cyperaceae;Eriophorum	Cyperaceae;Carex	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum	Asteraceae;Antennaria	Cyperaceae;Eriophorum
P001_WH03_00123 	Cyperaceae;Eriophorum	Cyperaceae;Carex	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum
P001_WH12_00041 	Asteraceae;Hieracium	Asteraceae;Sonchus	Asteraceae;Hieracium	Asteraceae;Hieracium	Asteraceae;Hieracium	Asteraceae;Saussurea
P001_WH12_00092 	Asteraceae;Hieracium	Asteraceae;Sonchus	Asteraceae;Hieracium	Asteraceae;Hieracium	Asteraceae;Hieracium	Asteraceae;Saussurea
P002_WC01_00010 	Rosaceae;Potentilla	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis
P002_WC01_00142 	Rosaceae;Potentilla	Rosaceae;Potentilla	Orobanchaceae;Pedicularis	Rosaceae;Potentilla	Rosaceae;Potentilla	Rosaceae;Potentilla
P002_WC12_00078 	Cyperaceae;Eriophorum	Cyperaceae;Carex	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum	Asteraceae;Antennaria	Cyperaceae;Eriophorum
P002_WC12_00097 	Cyperaceae;Eriophorum	Cyperaceae;Carex	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum
P002_WD01_00067 	Orobanchaceae;Pedicularis	Rosaceae;Potentilla	Orobanchaceae;Pedicularis	Rosaceae;Potentilla	Rosaceae;Potentilla	Rosaceae;Potentilla
P002_WD01_00153 	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis
P002_WE07_00133 	Rosaceae;Spiraea	Rosaceae;Spiraea	Rosaceae;Rubus	Rosaceae;Dryas	Cyperaceae;Carex	Rosaceae;Dryas
P002_WE07_00163 	Rosaceae;Spiraea	Caryophyllaceae;Colobanthus	Caryophyllaceae;Minuartia	Caryophyllaceae;Sagina	Caryophyllaceae;Minuartia	Caryophyllaceae;Minuartia
P002_WF01_00026 	Poaceae;Calamagrostis	Asteraceae;Rhaponticum	Poaceae;Calamagrostis	Asteraceae;Saussurea	Plantaginaceae;Veronica	Asteraceae;Cirsium
P002_WF01_00136 	Poaceae;Calamagrostis	Poaceae;Dichelachne	Poaceae;Calamagrostis	Poaceae;Calamagrostis	Poaceae;Calamagrostis	Poaceae;Agrostis
P002_WG02_00143 	Fabaceae;Hedysarum	Plantaginaceae;Veronica	Fabaceae;Hedysarum	Plantaginaceae;Veronica	Asteraceae;Cirsium	Plantaginaceae;Veronica
P002_WG02_00182 	Fabaceae;Hedysarum	Fabaceae;Hedysarum	Fabaceae;Hedysarum	Fabaceae;Oxytropis	Fabaceae;Oxytropis	Fabaceae;Oxytropis
P002_WG08_00063 	Cyperaceae;Eriophorum	Cyperaceae;Carex	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum	Asteraceae;Antennaria	Cyperaceae;Eriophorum
P002_WG08_00083 	Cyperaceae;Eriophorum	Cyperaceae;Carex	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum
P002_WH08_00029 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Polygonaceae;Oxyria
P002_WH08_00163 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Crassulaceae;Sedum	Cyperaceae;Carex
P003_WA10_00081 	Gentianaceae;Gentiana	Gentianaceae;Gentiana	Gentianaceae;Gentiana	Gentianaceae;Gentiana	Gentianaceae;Gentiana	Gentianaceae;Gentiana
P003_WA10_00197 	Gentianaceae;Gentiana	Urticaceae;Debregeasia	Primulaceae;Soldanella	Primulaceae;Soldanella	Primulaceae;Primula	Primulaceae;Primula
P003_WB04_00078 	Cyperaceae;Eriophorum	Cyperaceae;Carex	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum	Asteraceae;Antennaria	Cyperaceae;Eriophorum
P003_WB04_00095 	Cyperaceae;Eriophorum	Cyperaceae;Carex	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum
P003_WB08_00159 	Asteraceae;Antennaria	Cyperaceae;Carex	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum	Asteraceae;Antennaria	Cyperaceae;Eriophorum
P003_WB08_00175 	Asteraceae;Antennaria	Asteraceae;Antennaria	Asteraceae;Antennaria	Poaceae;Festuca	Asteraceae;Antennaria	Asteraceae;Gnaphalium
P003_WB09_00002 	Cyperaceae;Eriophorum	Cyperaceae;Carex	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum	Asteraceae;Antennaria	Cyperaceae;Eriophorum
P003_WB09_00082 	Cyperaceae;Eriophorum	Cyperaceae;Carex	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum
P003_WC04_00012 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Onagraceae;Epilobium	Cyperaceae;Carex	Orobanchaceae;Bartsia
P003_WC04_00060 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Crassulaceae;Sedum	Cyperaceae;Carex	Cyperaceae;Carex
P003_WC07_00104 	Juncaceae;Luzula	Juncaceae;Juncus	Juncaceae;Luzula	Juncaceae;Luzula	Juncaceae;Luzula	Cyperaceae;Carex
P003_WC07_00191 	Juncaceae;Luzula	Brassicaceae;Cochlearia	Brassicaceae;Cochlearia	Asteraceae;Taraxacum	Brassicaceae;Draba	Brassicaceae;Draba
P003_WC09_00068 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Orobanchaceae;Bartsia	Cyperaceae;Carex
P003_WC09_00143 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Crassulaceae;Sedum	Cyperaceae;Carex
P003_WC12_00072 	Juncaceae;Luzula	Asteraceae;Diplostephium	Asteraceae;Aster	Asteraceae;Aster	Asteraceae;Erigeron	Asteraceae;Solidago
P003_WC12_00097 	Juncaceae;Luzula	Juncaceae;Juncus	Juncaceae;Luzula	Juncaceae;Luzula	Juncaceae;Luzula	Cyperaceae;Carex
P003_WD12_00076 	Plantaginaceae;Veronica	Plantaginaceae;Veronica	Asteraceae;Cirsium	Plantaginaceae;Veronica	Plantaginaceae;Veronica	Fabaceae;Hedysarum
P003_WD12_00133 	Plantaginaceae;Veronica	Asteraceae;Cirsium	Asteraceae;Cirsium	Asteraceae;Saussurea	Asteraceae;Centaurea	Poaceae;Calamagrostis
P003_WE02_00028 	Poaceae;Festuca	Poaceae;Festuca	Poaceae;Festuca	Poaceae;Festuca	Poaceae;Festuca	Poaceae;Festuca
P003_WE02_00172 	Poaceae;Festuca	Asteraceae;Antennaria	Asteraceae;Antennaria	Poaceae;Festuca	Asteraceae;Antennaria	Asteraceae;Gnaphalium
P003_WE07_00048 	Cyperaceae;Eriophorum	Cyperaceae;Carex	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum	Asteraceae;Antennaria	Cyperaceae;Eriophorum
P003_WE07_00128 	Cyperaceae;Eriophorum	Cyperaceae;Carex	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum
P003_WE11_00073 	Cyperaceae;Carex	Juncaceae;Juncus	Juncaceae;Luzula	Juncaceae;Luzula	Juncaceae;Luzula	Juncaceae;Luzula
P003_WE11_00218 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Onagraceae;Epilobium	Cyperaceae;Carex	Orobanchaceae;Bartsia
P003_WE12_00033 	Caryophyllaceae;Dianthus	Caryophyllaceae;Dianthus	Ranunculaceae;Ranunculus	Caryophyllaceae;Minuartia	Caryophyllaceae;Sagina	Caryophyllaceae;Stellaria
P003_WE12_00196 	Caryophyllaceae;Dianthus	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus	Brassicaceae;Arabis
P003_WF01_00033 	Onagraceae;Epilobium	Orobanchaceae;Pedicularis	Rosaceae;Potentilla	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis
P003_WF01_00152 	Onagraceae;Epilobium	Onagraceae;Epilobium	Rosaceae;Rubus	Rosaceae;Spiraea	Rosaceae;Sieversia	Rosaceae;Dryas
P003_WF01_00306 	Onagraceae;Epilobium	Cyperaceae;Carex	Cyperaceae;Carex	Onagraceae;Epilobium	Cyperaceae;Carex	Orobanchaceae;Bartsia
P003_WF11_00041 	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus	Brassicaceae;Arabis
P003_WF11_00202 	Ranunculaceae;Ranunculus	Caryophyllaceae;Dianthus	Ranunculaceae;Ranunculus	Caryophyllaceae;Minuartia	Caryophyllaceae;Sagina	Caryophyllaceae;Stellaria
P003_WG02_00112 	Cyperaceae;Carex	Ranunculaceae;Aconitum	Cyperaceae;Carex	Ranunculaceae;Trollius	Ranunculaceae;Anemone	Ranunculaceae;Ranunculus
P003_WG02_00234 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Onagraceae;Epilobium	Cyperaceae;Carex	Orobanchaceae;Bartsia
P003_WG02_00340 	Cyperaceae;Carex	Rosaceae;Dryas	Rosaceae;Dryas	Cyperaceae;Carex	Rosaceae;Dryas	Rosaceae;Rubus
P003_WG08_00068 	Brassicaceae;Draba	Brassicaceae;Draba	Brassicaceae;Draba	Brassicaceae;Draba	Papaveraceae;Papaver	Asteraceae;Taraxacum
P003_WG08_00170 	Brassicaceae;Draba	Saxifragaceae;Micranthes	Saxifragaceae;Saxifraga	Saxifragaceae;Saxifraga	Saxifragaceae;Saxifraga	Saxifragaceae;Saxifraga
P003_WG11_00145 	Asteraceae;Cirsium	Plantaginaceae;Veronica	Asteraceae;Cirsium	Plantaginaceae;Veronica	Plantaginaceae;Veronica	Fabaceae;Hedysarum
P003_WG11_00213 	Asteraceae;Cirsium	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Orobanchaceae;Bartsia
P003_WG11_00357 	Asteraceae;Cirsium	Asteraceae;Cirsium	Asteraceae;Cirsium	Asteraceae;Saussurea	Asteraceae;Centaurea	Poaceae;Calamagrostis
P003_WH02_00058 	Orobanchaceae;Bartsia	Orobanchaceae;Neobartsia	Orobanchaceae;Euphrasia	Orobanchaceae;Euphrasia	Brassicaceae;Arabis	Orobanchaceae;Euphrasia
P003_WH02_00081 	Orobanchaceae;Bartsia	Cyperaceae;Carex	Cyperaceae;Carex	Onagraceae;Epilobium	Cyperaceae;Carex	Orobanchaceae;Bartsia
P8807_505_00073 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Crassulaceae;Sedum	Cyperaceae;Carex	Cyperaceae;Carex
P8807_505_00099 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Orobanchaceae;Bartsia
P8807_518_00017 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex
P8807_518_00139 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Polygonaceae;Oxyria	Cyperaceae;Carex	Cyperaceae;Carex
WC01_00010 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Crassulaceae;Sedum	Cyperaceae;Carex
WC01_00027 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Orobanchaceae;Bartsia	Cyperaceae;Carex
