P001_WA07_00037 	Asteraceae	Rubiaceae	Rubiaceae	Rubiaceae	Rubiaceae	Apiaceae
P001_WG02_00243 	Cyperaceae	Ranunculaceae	Cyperaceae	Selaginellaceae	Ranunculaceae	Cyperaceae
P001_WG03_00010 	Selaginellaceae	Cyperaceae	Selaginellaceae	Cyperaceae	Cyperaceae	Cyperaceae
P001_WG03_00263 	Selaginellaceae	Celastraceae	Celastraceae	Rosaceae	Cyperaceae	Rosaceae
P001_WG03_00366 	Selaginellaceae	Caryophyllaceae	Caryophyllaceae	Caryophyllaceae	Cyperaceae	Caryophyllaceae
P001_WG03_00481 	Selaginellaceae	Ranunculaceae	Ranunculaceae	Cyperaceae	Ranunculaceae	Cyperaceae
P002_WA04_00019 	Apiaceae	Apiaceae	Apiaceae	Apiaceae	Apiaceae	Apiaceae
P002_WA04_00102 	Apiaceae	Apiaceae	Apiaceae	Apiaceae	Apiaceae	Apiaceae
P002_WA10_00128 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P002_WA10_00129 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P002_WA10_00130 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P002_WC01_00079 	Rosaceae	Rosaceae	Orobanchaceae	Rosaceae	Rosaceae	Rosaceae
P002_WC01_00194 	Rosaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae	Onagraceae	Orobanchaceae
P002_WC07_00009 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P002_WC07_00046 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P002_WD01_00004 	Orobanchaceae	Rosaceae	Orobanchaceae	Rosaceae	Rosaceae	Rosaceae
P002_WD01_00192 	Orobanchaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae	Onagraceae	Orobanchaceae
P002_WE07_00003 	Rosaceae	Rosaceae	Rosaceae	Rosaceae	Cyperaceae	Rosaceae
P002_WE07_00219 	Rosaceae	Caryophyllaceae	Caryophyllaceae	Caryophyllaceae	Caryophyllaceae	Caryophyllaceae
P002_WF01_00088 	Poaceae	Asteraceae	Poaceae	Plantaginaceae	Asteraceae	Asteraceae
P002_WF01_00162 	Poaceae	Poaceae	Poaceae	Poaceae	Poaceae	Poaceae
P002_WF05_00004 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P002_WF05_00130 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P002_WF05_00131 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P002_WG02_00092 	Fabaceae	Plantaginaceae	Fabaceae	Plantaginaceae	Asteraceae	Plantaginaceae
P002_WG02_00219 	Fabaceae	Fabaceae	Fabaceae	Fabaceae	Fabaceae	Fabaceae
P002_WG12_00025 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P002_WG12_00137 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P002_WH02_00001 	Crassulaceae	Ranunculaceae	Crassulaceae	Ranunculaceae	Ranunculaceae	Cyperaceae
P002_WH02_00137 	Crassulaceae	Crassulaceae	Crassulaceae	Crassulaceae	Crassulaceae	Saxifragaceae
P002_WH08_00067 	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae
P002_WH08_00070 	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Selaginellaceae
P002_WH09_00104 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P002_WH09_00123 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P002_WH09_00124 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P003_WA10_00016 	Gentianaceae	Gentianaceae	Gentianaceae	Gentianaceae	Gentianaceae	Gentianaceae
P003_WA10_00097 	Gentianaceae	Primulaceae	Primulaceae	Primulaceae	Primulaceae	Primulaceae
P003_WB07_00034 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P003_WB07_00145 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P003_WB08_00069 	Asteraceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae
P003_WB08_00118 	Asteraceae	Asteraceae	Asteraceae	Poaceae	Asteraceae	Asteraceae
P003_WC02_00070 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P003_WC02_00094 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P003_WC02_00095 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P003_WD01_00031 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P003_WD01_00032 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P003_WD01_00033 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P003_WD12_00007 	Plantaginaceae	Plantaginaceae	Asteraceae	Plantaginaceae	Plantaginaceae	Fabaceae
P003_WD12_00227 	Plantaginaceae	Asteraceae	Asteraceae	Asteraceae	Poaceae	Asteraceae
P003_WE02_00057 	Poaceae	Poaceae	Poaceae	Poaceae	Poaceae	Poaceae
P003_WE02_00205 	Poaceae	Asteraceae	Asteraceae	Poaceae	Asteraceae	Asteraceae
P003_WE12_00094 	Caryophyllaceae	Caryophyllaceae	Ranunculaceae	Caryophyllaceae	Caryophyllaceae	Caryophyllaceae
P003_WE12_00117 	Caryophyllaceae	Ranunculaceae	Ranunculaceae	Ranunculaceae	Brassicaceae	Ranunculaceae
P003_WF01_00053 	Onagraceae	Orobanchaceae	Onagraceae	Orobanchaceae	Orobanchaceae	Orobanchaceae
P003_WF01_00230 	Onagraceae	Onagraceae	Rosaceae	Rosaceae	Cyperaceae	Rosaceae
P003_WF01_00355 	Onagraceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae
P003_WF11_00112 	Ranunculaceae	Ranunculaceae	Ranunculaceae	Ranunculaceae	Brassicaceae	Ranunculaceae
P003_WF11_00150 	Ranunculaceae	Caryophyllaceae	Ranunculaceae	Caryophyllaceae	Caryophyllaceae	Caryophyllaceae
P003_WG02_00021 	Cyperaceae	Ranunculaceae	Cyperaceae	Ranunculaceae	Cyperaceae	Ranunculaceae
P003_WG02_00062 	Cyperaceae	Rosaceae	Rosaceae	Cyperaceae	Rosaceae	Rosaceae
P003_WG02_00124 	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae
P003_WG08_00114 	Brassicaceae	Brassicaceae	Brassicaceae	Brassicaceae	Papaveraceae	Brassicaceae
P003_WG08_00236 	Brassicaceae	Saxifragaceae	Saxifragaceae	Saxifragaceae	Saxifragaceae	Saxifragaceae
P003_WG11_00100 	Asteraceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae
P003_WG11_00229 	Asteraceae	Plantaginaceae	Asteraceae	Plantaginaceae	Plantaginaceae	Fabaceae
P003_WG11_00295 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Poaceae	Asteraceae
P003_WG11_00385 	Asteraceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae
P003_WH11_00102 	Asteraceae	Cyperaceae	Juncaceae	Asteraceae	Cyperaceae	Cyperaceae
P003_WH11_00113 	Asteraceae	Asteraceae	Juncaceae	Asteraceae	Asteraceae	Asteraceae
P004_WB02_00060 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P004_WB02_00061 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P004_WB02_00064 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P8807_501_00015 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P8807_501_00105 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P8807_517_00009 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P8807_517_00100 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P8807_521_00097 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P8807_521_00117 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
WA11_00007 	Polygonaceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Polygonaceae
WA11_00008 	Polygonaceae	Cyperaceae	Cyperaceae	Crassulaceae	Cyperaceae	Cyperaceae
WC06_00037 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
WC06_00076 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
