P001_WA01_00082 	Saxifragaceae	Poaceae	Ranunculaceae	Saxifragaceae	Saxifragaceae	Crassulaceae
P002_WE07_00151 	Rosaceae	Caryophyllaceae	Caryophyllaceae	Caryophyllaceae	Ranunculaceae	Caryophyllaceae
P002_WE09_00074 	Betulaceae	Betulaceae	Betulaceae	Rosaceae	Rosaceae	Cyperaceae
P002_WF06_00092 	Ericaceae	Theaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P002_WF11_00022 	Juncaceae	Cyperaceae	Juncaceae	Juncaceae	Juncaceae	Juncaceae
P002_WG06_00004 	Juncaceae	Juncaceae	Campanulaceae	Campanulaceae	Campanulaceae	Campanulaceae
P002_WG10_00102 	Saxifragaceae	Saxifragaceae	Saxifragaceae	Saxifragaceae	Ranunculaceae	Ranunculaceae
P002_WG12_00117 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P002_WH01_00114 	Ranunculaceae	Ranunculaceae	Ranunculaceae	Saxifragaceae	Saxifragaceae	Saxifragaceae
P002_WH04_00038 	Apiaceae	Apiaceae	Apiaceae	Asteraceae	Asteraceae	Juncaceae
P002_WH05_00032 	Ranunculaceae	Ranunculaceae	Ranunculaceae	Campanulaceae	Campanulaceae	Campanulaceae
P002_WH06_00030 	Asteraceae	Asteraceae	Asteraceae	Juncaceae	Asteraceae	Asteraceae
P003_WA04_00103 	Crassulaceae	Crassulaceae	Ranunculaceae	Saxifragaceae	Saxifragaceae	Saxifragaceae
P003_WA09_00076 	Caryophyllaceae	Caryophyllaceae	Caryophyllaceae	Caryophyllaceae	Caryophyllaceae	Ranunculaceae
P003_WA11_00005 	Primulaceae	Primulaceae	Primulaceae	Primulaceae	Primulaceae	Primulaceae
P003_WC01_00105 	Polygonaceae	Polygonaceae	Polygonaceae	Polygonaceae	Primulaceae	Ranunculaceae
P003_WC07_00110 	Juncaceae	Cyperaceae	Juncaceae	Juncaceae	Juncaceae	Juncaceae
P003_WC12_00056 	Juncaceae	Asteraceae	Juncaceae	Asteraceae	Asteraceae	Asteraceae
P003_WC12_00102 	Juncaceae	Cyperaceae	Juncaceae	Juncaceae	Juncaceae	Juncaceae
P003_WD11_00116 	Primulaceae	Primulaceae	Polygonaceae	Polygonaceae	Polygonaceae	Primulaceae
P003_WD12_00086 	Plantaginaceae	Plantaginaceae	Orobanchaceae	Orobanchaceae	Rosaceae	Orobanchaceae
P003_WD12_00151 	Plantaginaceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae
P003_WE11_00078 	Cyperaceae	Cyperaceae	Juncaceae	Juncaceae	Juncaceae	Juncaceae
P003_WE12_00210 	Caryophyllaceae	Caryophyllaceae	Ranunculaceae	Caryophyllaceae	Rosaceae	Caryophyllaceae
P003_WF01_00141 	Onagraceae	Onagraceae	Polygonaceae	Polygonaceae	Polygonaceae	Plantaginaceae
P003_WF02_00099 	Rosaceae	Rosaceae	Rosaceae	Cyperaceae	Rosaceae	Juncaceae
P003_WF06_00118 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Juncaceae
P003_WF10_00033 	Caryophyllaceae	Caryophyllaceae	Rosaceae	Caryophyllaceae	Ranunculaceae	Caryophyllaceae
P003_WF11_00140 	Ranunculaceae	Caryophyllaceae	Ranunculaceae	Caryophyllaceae	Rosaceae	Caryophyllaceae
P003_WG02_00270 	Cyperaceae	Rosaceae	Rosaceae	Cyperaceae	Rosaceae	Juncaceae
P003_WG03_00115 	Primulaceae	Primulaceae	Primulaceae	Primulaceae	Primulaceae	Primulaceae
P003_WG06_00099 	Lentibulariaceae	Lentibulariaceae	Plantaginaceae	Lamiaceae	Rosaceae	Orobanchaceae
P003_WG07_00027 	Orobanchaceae	Orobanchaceae	Rosaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae
P003_WG11_00372 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae
P003_WH01_00028 	Orobanchaceae	Orobanchaceae	Rosaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae
P003_WH06_00118 	Saxifragaceae	Saxifragaceae	Saxifragaceae	Ranunculaceae	Saxifragaceae	Ranunculaceae
P003_WH10_00078 	Brassicaceae	Brassicaceae	Rosaceae	Cupressaceae	Betulaceae	Rosaceae
P004_WB02_00054 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P004_WC02_00023 	Polygonaceae	Polygonaceae	Polygonaceae	Polygonaceae	Primulaceae	Ranunculaceae
P004_WD02_00094 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae
P8807_508_00087 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae
P8807_515_00008 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Plantaginaceae	Asteraceae
P8807_517_00098 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P8807_520_00013 	Juncaceae	Asparagaceae	Juncaceae	Juncaceae	Juncaceae	Juncaceae
P8807_521_00103 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
WA01_00117 	Rosaceae	Rosaceae	Orobanchaceae	Rosaceae	Rosaceae	Cyperaceae
WB02_00113 	Geraniaceae	Geraniaceae	Onagraceae	Betulaceae	Rosaceae	Cyperaceae
WB03_00059 	Campanulaceae	Campanulaceae	Campanulaceae	Campanulaceae	Campanulaceae	Ranunculaceae
WB11_00092 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae
WC03_00055 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
WC06_00060 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
