P001_WB01_00247 	Brassicaceae;Arabis	Ranunculaceae;Ranunculus	Caryophyllaceae;Dianthus	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus
P001_WG03_00013 	Selaginellaceae;Selaginella	Celastraceae;Parnassia	Celastraceae;Parnassia	Rosaceae;Spiraea	Rosaceae;Rubus	Gentianaceae;Comastoma
P001_WG03_00075 	Selaginellaceae;Selaginella	Ranunculaceae;Thalictrum	Cyperaceae;Carex	Selaginellaceae;Selaginella	Ranunculaceae;Trollius	Fabaceae;Oxytropis
P001_WG03_00147 	Selaginellaceae;Selaginella	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Poaceae;Bromus
P001_WG03_00150 	Selaginellaceae;Selaginella	Caryophyllaceae;Cerastium	Caryophyllaceae;Cerastium	Caryophyllaceae;Cerastium	Cyperaceae;Carex	Asteraceae;Leontodon
P001_WG03_00254 	Selaginellaceae;Selaginella	Ranunculaceae;Thalictrum	Cyperaceae;Carex	Selaginellaceae;Selaginella	Ranunculaceae;Trollius	Poaceae;Nardus
P001_WH01_00117 	Celastraceae;Parnassia	Celastraceae;Parnassia	Celastraceae;Parnassia	Rosaceae;Dryas	Cyperaceae;Carex	Asteraceae;Leontodon
P001_WH01_00118 	Celastraceae;Parnassia	Celastraceae;Parnassia	Celastraceae;Parnassia	Rosaceae;Spiraea	Rosaceae;Rubus	Apiaceae;Bupleurum
P001_WH04_00093 	Saxifragaceae;Saxifraga	Saxifragaceae;Saxifraga	Saxifragaceae;Saxifraga	Salicaceae;Salix	Saxifragaceae;Saxifraga	Polygonaceae;Rumex
P001_WH04_00094 	Saxifragaceae;Saxifraga	Saxifragaceae;Saxifraga	Salicaceae;Salix	Saxifragaceae;Saxifraga	Saxifragaceae;Saxifraga	Cyperaceae;Carex
P001_WH06_00178 	Poaceae;Trisetum	Poaceae;Koeleria	Poaceae;Calamagrostis	Poaceae;Calamagrostis	Poaceae;Calamagrostis	Saxifragaceae;Saxifraga
P001_WH06_00199 	Poaceae;Trisetum	Asteraceae;Tragopogon	Asteraceae;Scorzonera	Asteraceae;Hieracium	Asteraceae;Hieracium	Poaceae;Calamagrostis
P002_WB11_00110 	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Caryophyllaceae;Cerastium
P002_WB11_00111 	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Rosaceae;Potentilla	Orobanchaceae;Pedicularis	Caryophyllaceae;Silene
P002_WB11_00112 	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Rosaceae;Potentilla	Orobanchaceae;Pedicularis	Asteraceae;Antennaria
P002_WB11_00113 	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Rosaceae;Potentilla	Orobanchaceae;Pedicularis	Orobanchaceae;Euphrasia
P002_WC01_00156 	Rosaceae;Potentilla	Rosaceae;Potentilla	Orobanchaceae;Pedicularis	Rosaceae;Potentilla	Rosaceae;Potentilla	Orchidaceae;Coeloglossum
P002_WC01_00219 	Rosaceae;Potentilla	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Gentianaceae;Gentiana
P002_WC09_00018 	Fabaceae;Astragalus	Fabaceae;Astragalus	Fabaceae;Oxytropis	Fabaceae;Astragalus	Fabaceae;Oxytropis	Cyperaceae;Carex
P002_WC09_00090 	Fabaceae;Astragalus	Fabaceae;Astragalus	Fabaceae;Oxytropis	Fabaceae;Oxytropis	Fabaceae;Oxytropis	Selaginellaceae;Selaginella
P002_WD01_00126 	Orobanchaceae;Pedicularis	Rosaceae;Potentilla	Orobanchaceae;Pedicularis	Rosaceae;Potentilla	Rosaceae;Potentilla	Gentianaceae;Gentianella
P002_WD01_00228 	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Asteraceae;Anthemis
P002_WE07_00062 	Rosaceae;Spiraea	Caryophyllaceae;Colobanthus	Caryophyllaceae;Minuartia	Caryophyllaceae;Minuartia	Caryophyllaceae;Sagina	Poaceae;Hyalopoa
P002_WE07_00233 	Rosaceae;Spiraea	Rosaceae;Spiraea	Rosaceae;Dryas	Rosaceae;Dryas	Cyperaceae;Carex	Fabaceae;Trifolium
P002_WF01_00214 	Poaceae;Calamagrostis	Poaceae;Calamagrostis	Poaceae;Calamagrostis	Poaceae;Calamagrostis	Poaceae;Calamagrostis	Poaceae;Poa
P002_WF01_00241 	Poaceae;Calamagrostis	Asteraceae;Plectocephalus	Poaceae;Calamagrostis	Plantaginaceae;Veronica	Asteraceae;Cirsium	Rosaceae;Dryas
P002_WF09_00122 	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Harrimanella	Ericaceae;Cassiope	Caryophyllaceae;Arenaria
P002_WF09_00123 	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Poaceae;Helictotrichon
P002_WF09_00124 	Ericaceae;Pyrola	Ericaceae;Pyrola	Caprifoliaceae;Patrinia	Ericaceae;Pyrola	Ericaceae;Pyrola	Orobanchaceae;Pedicularis
P002_WF09_00125 	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Rosaceae;Potentilla
P002_WG02_00021 	Fabaceae;Hedysarum	Fabaceae;Hedysarum	Fabaceae;Hedysarum	Fabaceae;Trifolium	Fabaceae;Oxytropis	Salicaceae;Salix
P002_WG02_00117 	Fabaceae;Hedysarum	Plantaginaceae;Veronica	Fabaceae;Hedysarum	Plantaginaceae;Veronica	Asteraceae;Cirsium	Caryophyllaceae;Stellaria
P002_WG10_00119 	Saxifragaceae;Saxifraga	Saxifragaceae;Micranthes	Saxifragaceae;Saxifraga	Saxifragaceae;Saxifraga	Saxifragaceae;Chrysosplenium	Juncaceae;Luzula
P002_WG10_00124 	Saxifragaceae;Saxifraga	Saxifragaceae;Micranthes	Saxifragaceae;Saxifraga	Saxifragaceae;Saxifraga	Saxifragaceae;Chrysosplenium	Ericaceae;Rhododendron
P002_WH02_00005 	Crassulaceae;Sempervivum	Crassulaceae;Sempervivum	Crassulaceae;Sedum	Crassulaceae;Sedum	Saxifragaceae;Saxifraga	Caryophyllaceae;Minuartia
P002_WH02_00046 	Crassulaceae;Sempervivum	Ranunculaceae;Anemone	Crassulaceae;Sempervivum	Ranunculaceae;Anemone	Ranunculaceae;Anemone	Cyperaceae;Eriophorum
P002_WH08_00179 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Selaginellaceae;Selaginella	Poaceae;Deschampsia
P002_WH08_00180 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Asteraceae;Saussurea
P003_WA07_00111 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Ranunculaceae;Anemone
P003_WA07_00214 	Cyperaceae;Carex	Poaceae;Festuca	Cyperaceae;Carex	Poaceae;Festuca	Poaceae;Festuca	Campanulaceae;Campanula
P003_WA07_00215 	Cyperaceae;Carex	Poaceae;Helictochloa	Poaceae;Festuca	Cyperaceae;Carex	Poaceae;Festuca	Caprifoliaceae;Patrinia
P003_WA10_00115 	Gentianaceae;Gentiana	Primulaceae;Bryocarpum	Primulaceae;Soldanella	Primulaceae;Soldanella	Primulaceae;Primula	Betulaceae;Betula
P003_WA10_00178 	Gentianaceae;Gentiana	Gentianaceae;Gentiana	Gentianaceae;Gentiana	Gentianaceae;Gentiana	Gentianaceae;Gentiana	Saxifragaceae;Saxifraga
P003_WB03_00052 	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Plantaginaceae;Veronica
P003_WB03_00072 	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Caryophyllaceae;Minuartia
P003_WD03_00173 	Lentibulariaceae;Pinguicula	Lamiaceae;Wenchengia	Lamiaceae;Betonica	Plantaginaceae;Plantago	Orobanchaceae;Pedicularis	Ericaceae;Vaccinium
P003_WD03_00174 	Lentibulariaceae;Pinguicula	Bignoniaceae;Chilopsis	Lamiaceae;Betonica	Rosaceae;Potentilla	Orobanchaceae;Pedicularis	Ranunculaceae;Pulsatilla
P003_WD12_00167 	Plantaginaceae;Veronica	Asteraceae;Cirsium	Asteraceae;Cirsium	Asteraceae;Saussurea	Asteraceae;Saussurea	Poaceae;Arctagrostis
P003_WD12_00181 	Plantaginaceae;Veronica	Plantaginaceae;Neopicrorhiza	Asteraceae;Cirsium	Plantaginaceae;Veronica	Plantaginaceae;Veronica	Brassicaceae;Draba
P003_WE02_00127 	Poaceae;Festuca	Poaceae;Festuca	Poaceae;Festuca	Poaceae;Festuca	Poaceae;Festuca	Rosaceae;Potentilla
P003_WE02_00195 	Poaceae;Festuca	Asteraceae;Antennaria	Asteraceae;Antennaria	Asteraceae;Antennaria	Asteraceae;Antennaria	Poaceae;Poa
P003_WE03_00101 	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Polygonaceae;Bistorta
P003_WE03_00110 	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Crassulaceae;Sedum
P003_WE12_00052 	Caryophyllaceae;Dianthus	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus	Brassicaceae;Arabis	Poaceae;Festuca
P003_WE12_00132 	Caryophyllaceae;Dianthus	Caryophyllaceae;Dianthus	Ranunculaceae;Ranunculus	Caryophyllaceae;Viscaria	Rosaceae;Spiraea	Asteraceae;Solidago
P003_WF11_00177 	Ranunculaceae;Ranunculus	Caryophyllaceae;Dianthus	Ranunculaceae;Ranunculus	Caryophyllaceae;Viscaria	Rosaceae;Spiraea	Crassulaceae;Sedum
P003_WF11_00196 	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus	Brassicaceae;Arabis	Polygonaceae;Bistorta
P003_WG02_00220 	Cyperaceae;Carex	Ranunculaceae;Aconitum	Ranunculaceae;Aconitum	Ranunculaceae;Trollius	Ranunculaceae;Pulsatilla	Cyperaceae;Carex
P003_WG02_00323 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Saxifragaceae;Saxifraga
P003_WG02_00403 	Cyperaceae;Carex	Rosaceae;Dryas	Rosaceae;Dryas	Cyperaceae;Carex	Rosaceae;Dryas	Primulaceae;Primula
P003_WG07_00001 	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Rosaceae;Potentilla	Orobanchaceae;Pedicularis	Asteraceae;Achillea
P003_WG07_00002 	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Juncaceae;Luzula
P003_WG07_00003 	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Rosaceae;Potentilla	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Ericaceae;Rhododendron
P003_WG08_00001 	Brassicaceae;Draba	Saxifragaceae;Micranthes	Saxifragaceae;Saxifraga	Saxifragaceae;Saxifraga	Saxifragaceae;Saxifraga	Brassicaceae;Draba
P003_WG08_00096 	Brassicaceae;Draba	Brassicaceae;Draba	Brassicaceae;Draba	Brassicaceae;Draba	Papaveraceae;Papaver	Lentibulariaceae;Pinguicula
P003_WG11_00122 	Asteraceae;Cirsium	Asteraceae;Cirsium	Asteraceae;Cirsium	Asteraceae;Saussurea	Asteraceae;Saussurea	Brassicaceae;Draba
P003_WG11_00195 	Asteraceae;Cirsium	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Ranunculaceae;Ranunculus
P003_WG11_00412 	Asteraceae;Cirsium	Plantaginaceae;Neopicrorhiza	Plantaginaceae;Veronica	Plantaginaceae;Veronica	Plantaginaceae;Veronica	Brassicaceae;Cochlearia
P8807_503_00010 	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Arctous	Salicaceae;Salix
P8807_503_00011 	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Asteraceae;Hieracium	Gentianaceae;Gentiana
P8807_503_00012 	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Harrimanella	Caryophyllaceae;Minuartia
P8807_503_00013 	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Harrimanella	Ranunculaceae;Ranunculus
P8807_509_00027 	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Rosaceae;Potentilla	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Brassicaceae;Cardamine
P8807_509_00028 	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Onagraceae;Epilobium	Asteraceae;Leucanthemopsis
P8807_509_00029 	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Rosaceae;Potentilla	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Lentibulariaceae;Pinguicula
P8807_524_00044 	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Rosaceae;Potentilla	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Papaveraceae;Papaver
P8807_524_00045 	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Saxifragaceae;Saxifraga
P8807_526_00024 	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Asteraceae;Aster
P8807_526_00053 	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Cyperaceae;Carex
P8807_528_00036 	Diapensiaceae;Diapensia	Diapensiaceae;Diapensia	Ericaceae;Harrimanella	Primulaceae;Trientalis	Asteraceae;Hieracium	Cyperaceae;Carex
P8807_528_00037 	Diapensiaceae;Diapensia	Diapensiaceae;Diapensia	Primulaceae;Primula	Primulaceae;Primula	Primulaceae;Primula	Primulaceae;Primula
WA04_00106 	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Harrimanella	Ericaceae;Arctous	Asteraceae;Antennaria
WA04_00107 	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Pinaceae;Pinus
WA04_00108 	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Cupressaceae;Juniperus
WA04_00109 	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Rosaceae;Sieversia
WA05_00062 	Lentibulariaceae;Pinguicula	Scrophulariaceae;Buddleja	Lentibulariaceae;Pinguicula	Rosaceae;Potentilla	Orobanchaceae;Pedicularis	Caryophyllaceae;Minuartia
WA05_00063 	Lentibulariaceae;Pinguicula	Lamiaceae;Cymaria	Lamiaceae;Betonica	Orobanchaceae;Pedicularis	Onagraceae;Epilobium	Rosaceae;Potentilla
WA05_00064 	Lentibulariaceae;Pinguicula	Oleaceae;Schrebera	Lentibulariaceae;Pinguicula	Lamiaceae;Betonica	Plantaginaceae;Veronica	Salicaceae;Salix
WA05_00065 	Lentibulariaceae;Pinguicula	Paulowniaceae;Paulownia	Plantaginaceae;Veronica	Asteraceae;Cirsium	Lamiaceae;Betonica	Poaceae;Calamagrostis
WC03_00026 	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Harrimanella	Asteraceae;Taraxacum
WC03_00027 	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Harrimanella	Cyperaceae;Carex
WC03_00028 	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Asteraceae;Hieracium	Ericaceae;Arctous
WC03_00029 	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Arctous	Ericaceae;Pyrola
WC03_00032 	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Arctous	Poaceae;Agrostis
WC03_00033 	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Asteraceae;Hieracium	Cyperaceae;Carex
WC03_00034 	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Harrimanella	Ericaceae;Vaccinium
WC03_00035 	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Harrimanella	Ericaceae;Andromeda
